"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospitalization_Rate","Mortality_Rate","Recovery_Rates","Last_Update"
"ACACIAS","META","3.99012066334","-73.765936654","0","1","0","1","0","0","0","","","","100","2020-04-19 16:36:00"
"ACEVEDO","HUILA","1.80526322752","-75.8885315631","1","1","0","0","0","1","0","1","100","","","2020-04-19 16:36:00"
"AGRADO","HUILA","2.2597293939","-75.771903578","1","1","0","0","1","0","0","","","","","2020-04-19 16:36:00"
"AMAGA","ANTIOQUIA","6.03880857536","-75.7019460715","1","1","0","0","1","0","0","","","","","2020-04-19 16:36:00"
"ANAPOIMA","CUNDINAMARCA","4.56295617479","-74.5285175294","0","2","0","2","0","0","0","","","","100","2020-04-19 16:36:00"
"ANDALUCIA","VALLE DEL CAUCA","8.97734579987","-75.3750059494","1","1","0","0","0","1","0","1","100","","","2020-04-19 16:36:00"
"ANSERMA","CALDAS","5.23647439108","-75.7843426615","1","1","0","0","1","0","0","","","","","2020-04-19 16:36:00"
"APARTADO","ANTIOQUIA","7.88341740579","-76.6259606537","3","4","0","1","3","0","0","","","","25","2020-04-19 16:36:00"
"ARJONA","BOLIVAR","10.2566315237","-75.3444884486","2","2","0","0","2","0","0","","","","","2020-04-19 16:36:00"
"ARMENIA","QUINDIO","6.15581872915","-75.7868378278","23","39","1","15","22","0","1","1","2.5641025641026","2.5641025641026","38.461538461538","2020-04-19 16:36:00"
"BARANOA","ATLANTICO","10.7948804772","-74.9160998139","2","2","0","0","2","0","0","","","","","2020-04-19 16:36:00"
"BARRANCABERMEJA","SANTANDER","7.06496386399","-73.8499569753","5","6","1","0","5","0","0","","","16.666666666667","","2020-04-19 16:36:00"
"BARRANCO DE LOBA","BOLIVAR","8.94773015812","-74.1052242834","0","1","1","0","0","0","0","","","100","","2020-04-19 16:36:00"
"BARRANQUILLA","BARRANQUILLA D.E.","10.9759268186","-74.7952590482","48","79","3","28","41","3","4","7","8.8607594936709","3.7974683544304","35.443037974684","2020-04-19 16:36:00"
"BELLO","ANTIOQUIA","6.33406883641","-75.554665073","24","35","1","10","22","0","2","2","5.7142857142857","2.8571428571429","28.571428571429","2020-04-19 16:36:00"
"BOGOTA","BOGOTA D.C.","4.65017303026","-74.1073590032","1311","1597","67","219","1177","98","36","134","8.3907326236694","4.1953663118347","13.713212273012","2020-04-19 16:36:00"
"BUCARAMANGA","SANTANDER","7.11626727561","-73.1325981781","10","16","0","6","10","0","0","","","","37.5","2020-04-19 16:36:00"
"BUENAVENTURA","BUENAVENTURA D.E.","9.86146026968","-75.4969153426","13","14","1","0","9","2","2","4","28.571428571429","7.1428571428571","","2020-04-19 16:36:00"
"BUGALAGRANDE","VALLE DEL CAUCA","4.20833159173","-76.1568077444","1","1","0","0","1","0","0","","","","","2020-04-19 16:36:00"
"CAJICA","CUNDINAMARCA","4.92080905869","-74.0234539659","8","12","0","4","6","2","0","2","16.666666666667","","33.333333333333","2020-04-19 16:36:00"
"CALARCA","QUINDIO","4.51528184598","-75.6490883624","6","6","0","0","6","0","0","","","","","2020-04-19 16:36:00"
"CALDAS","ANTIOQUIA","6.09129696608","-75.6336187219","3","3","0","0","3","0","0","","","","","2020-04-19 16:36:00"
"CALI","VALLE DEL CAUCA","3.41441430458","-76.5215651508","412","491","28","51","302","86","24","110","22.403258655804","5.7026476578411","10.386965376782","2020-04-19 16:36:00"
