"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Last_Update"
"ACACIAS","META","3.99012066334","-73.765936654","0","1","0","1","0","0","0","","","","","","","100","","2020-04-22 16:17:00"
"ACEVEDO","HUILA","1.80526322752","-75.8885315631","1","1","0","0","0","1","0","1","100","","100","","","","100","2020-04-22 16:17:00"
"AGRADO","HUILA","2.2597293939","-75.771903578","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"AIPE","HUILA","3.22359756208","-75.2390311845","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"AMAGA","ANTIOQUIA","6.03880857536","-75.7019460715","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"ANAPOIMA","CUNDINAMARCA","4.56295617479","-74.5285175294","0","2","0","2","0","0","0","","","","","","","100","","2020-04-22 16:17:00"
"ANDALUCIA","VALLE DEL CAUCA","8.97734579987","-75.3750059494","1","1","0","0","0","1","0","1","100","","100","","","","100","2020-04-22 16:17:00"
"ANGOSTURA","ANTIOQUIA","6.88517459133","-75.3351159651","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"ANSERMA","CALDAS","5.23647439108","-75.7843426615","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"APARTADO","ANTIOQUIA","7.88341740579","-76.6259606537","3","4","0","1","3","0","0","","","75","","","","25","75","2020-04-22 16:17:00"
"AQUITANIA","BOYACA","5.83964314212","-74.9691761004","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"ARJONA","BOLIVAR","10.2566315237","-75.3444884486","3","3","0","0","3","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"ARMENIA","QUINDIO","6.15581872915","-75.7868378278","25","41","1","15","24","0","1","1","2.4390243902439","58.536585365854","","2.4390243902439","2.4390243902439","36.585365853659","60.975609756098","2020-04-22 16:17:00"
"BARANOA","ATLANTICO","10.7948804772","-74.9160998139","2","2","0","0","2","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"BARRANCABERMEJA","SANTANDER","7.06496386399","-73.8499569753","5","6","1","0","5","0","0","","","83.333333333333","","","16.666666666667","","83.333333333333","2020-04-22 16:17:00"
"BARRANCO DE LOBA","BOLIVAR","8.94773015812","-74.1052242834","0","1","1","0","0","0","0","","","","","","100","","","2020-04-22 16:17:00"
"BARRANQUILLA","BARRANQUILLA D.E.","10.9759268186","-74.7952590482","51","87","4","32","44","2","5","7","8.0459770114943","50.574712643678","2.2988505747126","5.7471264367816","4.5977011494253","36.781609195402","58.620689655172","2020-04-22 16:17:00"
"BELLO","ANTIOQUIA","6.33406883641","-75.554665073","30","43","1","12","29","0","1","1","2.3255813953488","67.441860465116","","2.3255813953488","2.3255813953488","27.906976744186","69.767441860465","2020-04-22 16:17:00"
"BOGOTA D.C.","BOGOTA D.C.","4.65017303026","-74.1073590032","1465","1836","77","294","1315","115","35","150","8.1699346405229","71.623093681917","6.2636165577342","1.9063180827887","4.1938997821351","16.013071895425","79.79302832244","2020-04-22 16:17:00"
"BUCARAMANGA","SANTANDER","7.11626727561","-73.1325981781","12","19","1","6","12","0","0","","","63.157894736842","","","5.2631578947368","31.578947368421","63.157894736842","2020-04-22 16:17:00"
"BUENAVENTURA","BUENAVENTURA D.E.","9.86146026968","-75.4969153426","16","17","1","0","13","2","1","3","17.647058823529","76.470588235294","11.764705882353","5.8823529411765","5.8823529411765","","94.117647058824","2020-04-22 16:17:00"
"BUGALAGRANDE","VALLE DEL CAUCA","4.20833159173","-76.1568077444","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"CAJICA","CUNDINAMARCA","4.92080905869","-74.0234539659","9","14","0","5","8","1","0","1","7.1428571428571","57.142857142857","7.1428571428571","","","35.714285714286","64.285714285714","2020-04-22 16:17:00"
"CALAMAR","BOLIVAR","10.2519633588","-74.9136292818","1","1","0","0","0","0","1","1","100","","","100","","","100","2020-04-22 16:17:00"
"CALARCA","QUINDIO","4.51528184598","-75.6490883624","6","6","0","0","6","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"CALDAS","ANTIOQUIA","6.09129696608","-75.6336187219","2","3","0","1","2","0","0","","","66.666666666667","","","","33.333333333333","66.666666666667","2020-04-22 16:17:00"
"CALI","VALLE DEL CAUCA","3.41441430458","-76.5215651508","469","575","35","71","353","91","25","116","20.173913043478","61.391304347826","15.826086956522","4.3478260869565","6.0869565217391","12.347826086957","81.565217391304","2020-04-22 16:17:00"
"CALIMA","VALLE DEL CAUCA","3.93352446268","-76.4843917469","0","1","0","1","0","0","0","","","","","","","100","","2020-04-22 16:17:00"
"CANDELARIA","VALLE DEL CAUCA","10.4612172348","-74.879912602","3","3","0","0","3","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"CARTAGENA DE INDIAS","CARTAGENA D.T. Y C.","10.3849855226","-75.496431028","123","185","13","49","97","23","3","26","14.054054054054","52.432432432432","12.432432432432","1.6216216216216","7.027027027027","26.486486486486","66.486486486486","2020-04-22 16:17:00"
"CARTAGO","VALLE DEL CAUCA","4.75875509757","-75.9422640436","4","10","0","6","4","0","0","","","40","","","","60","40","2020-04-22 16:17:00"
"CERETE","CORDOBA","8.88861181239","-75.7962165157","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"CHIA","CUNDINAMARCA","4.86606542368","-74.0503468211","19","24","0","5","19","0","0","","","79.166666666667","","","","20.833333333333","79.166666666667","2020-04-22 16:17:00"
"CHINCHINA","CALDAS","4.98581286197","-75.6074807289","1","4","0","3","1","0","0","","","25","","","","75","25","2020-04-22 16:17:00"
"CHOACHI","CUNDINAMARCA","4.52704792092","-73.9228944808","0","1","0","1","0","0","0","","","","","","","100","","2020-04-22 16:17:00"
"CIENAGA","MAGDALENA","11.0066568813","-74.2412861592","16","17","0","1","16","0","0","","","94.117647058824","","","","5.8823529411765","94.117647058824","2020-04-22 16:17:00"
"CIENAGA DE ORO","CORDOBA","8.87550224563","-75.6207866383","0","1","1","0","0","0","0","","","","","","100","","","2020-04-22 16:17:00"
"CIMITARRA","SANTANDER","6.32068186747","-73.9525821232","2","2","0","0","2","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"CIRCASIA","QUINDIO","4.61779204337","-75.636528232","2","3","0","1","2","0","0","","","66.666666666667","","","","33.333333333333","66.666666666667","2020-04-22 16:17:00"
"COCORNA","ANTIOQUIA","6.05830633507","-75.185481011","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"COGUA","CUNDINAMARCA","5.06184179776","-73.9784966905","1","1","0","0","0","1","0","1","100","","100","","","","100","2020-04-22 16:17:00"
"CONCEPCION","SANTANDER","6.39434709534","-75.2576027037","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"CONTADERO","NARIÑO","0.91045786274","-77.5494090245","0","1","0","1","0","0","0","","","","","","","100","","2020-04-22 16:17:00"
"COPACABANA","ANTIOQUIA","6.34864054523","-75.5093439031","6","6","0","0","6","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"COTA","CUNDINAMARCA","4.81298776927","-74.1027264632","3","9","0","6","3","0","0","","","33.333333333333","","","","66.666666666667","33.333333333333","2020-04-22 16:17:00"
"CUCUTA","NORTE DE SANTANDER","7.90530629465","-72.5082561962","38","55","3","14","35","1","2","3","5.4545454545455","63.636363636364","1.8181818181818","3.6363636363636","5.4545454545455","25.454545454545","69.090909090909","2020-04-22 16:17:00"
"CUMBAL","NARIÑO","0.906185360866","-77.7922766205","2","3","0","1","2","0","0","","","66.666666666667","","","","33.333333333333","66.666666666667","2020-04-22 16:17:00"
"CUMBITARA","NARIÑO","1.64684597096","-77.5781467265","0","1","0","1","0","0","0","","","","","","","100","","2020-04-22 16:17:00"
"CUNDINAMARCA","CUNDINAMARCA","9.64388958484","-74.6186326983","0","1","1","0","0","0","0","","","","","","100","","","2020-04-22 16:17:00"
