"City_Municipality","Department","Latitude","longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Hospitalization_Rate","Mortality_Rate","Last_Update"
"ACACIAS","META","3.99012066334","-73.765936654","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"ANAPOIMA","CUNDINAMARCA","4.56295617479","-74.5285175294","2","2","0","0","2","0","0","","","","2020-04-08 15:35:00"
"ANDALUCIA","VALLE DEL CAUCA","8.97734579987","-75.3750059494","1","1","0","0","0","1","0","1","100","","2020-04-08 15:35:00"
"ANGOSTURA","ANTIOQUIA","6.88517459133","-75.3351159651","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"ANSERMA","CALDAS","5.23647439108","-75.7843426615","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"APARTADO","ANTIOQUIA","7.88341740579","-76.6259606537","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"APARTADO","ANTIOQUIA","7.88341740579","-76.6259606537","3","3","0","0","3","0","0","","","","2020-04-08 15:35:00"
"ARJONA","BOLÍVAR","10.2566315237","-75.3444884486","2","2","0","0","2","0","0","","","","2020-04-08 15:35:00"
"ARMENIA","QUINDÍO","6.15581872915","-75.7868378278","23","27","0","4","21","1","1","2","7.4074074074074","","2020-04-08 15:35:00"
"BARRANCABERMEJA","SANTANDER","7.06496386399","-73.8499569753","0","1","1","0","0","0","0","","","100","2020-04-08 15:35:00"
"BARRANQUILLA","BARRANQUILLA D.E.","10.9759268186","-74.7952590482","42","49","2","5","38","2","2","4","8.1632653061224","4.0816326530612","2020-04-08 15:35:00"
"BELLO","ANTIOQUIA","6.33406883641","-75.554665073","17","18","0","1","15","1","1","2","11.111111111111","","2020-04-08 15:35:00"
"BOGOTA","BOGOTÁ D.C.","4.65017303026","-74.1073590032","901","992","25","66","749","114","38","152","15.322580645161","2.5201612903226","2020-04-08 15:35:00"
"BUCARAMANGA","SANTANDER","7.11626727561","-73.1325981781","9","9","0","0","9","0","0","","","","2020-04-08 15:35:00"
"BUENAVENTURA","BUENAVENTURA D.E.","9.86146026968","-75.4969153426","2","2","0","0","0","1","1","2","100","","2020-04-08 15:35:00"
"BUGA","VALLE DEL CAUCA","3.90082354377","-76.2989611331","2","3","0","1","2","0","0","","","","2020-04-08 15:35:00"
"CAJICA","CUNDINAMARCA","4.92080905869","-74.0234539659","5","7","0","2","5","0","0","","","","2020-04-08 15:35:00"
"CALARCA","QUINDÍO","4.51528184598","-75.6490883624","5","5","0","0","5","0","0","","","","2020-04-08 15:35:00"
"CALDAS","ANTIOQUIA","6.09129696608","-75.6336187219","3","3","0","0","3","0","0","","","","2020-04-08 15:35:00"
"CALI","VALLE DEL CAUCA","3.41441430458","-76.5215651508","236","243","5","2","161","54","21","75","30.864197530864","2.0576131687243","2020-04-08 15:35:00"
"CARTAGENA","CARTAGENA D.T. Y C","5.02682657968","-75.6392495535","56","65","3","6","48","6","2","8","12.307692307692","4.6153846153846","2020-04-08 15:35:00"
"CARTAGO","VALLE DEL CAUCA","4.75875509757","-75.9422640436","7","8","0","1","7","0","0","","","","2020-04-08 15:35:00"
"CHIA","CUNDINAMARCA","4.86606542368","-74.0503468211","8","10","0","2","6","2","0","2","20","","2020-04-08 15:35:00"
"CHINCHINA","CALDAS","4.98581286197","-75.6074807289","3","3","0","0","3","0","0","","","","2020-04-08 15:35:00"
"CHOACHI","CUNDINAMARCA","4.52704792092","-73.9228944808","1","1","0","0","0","1","0","1","100","","2020-04-08 15:35:00"
"CIENAGA DE ORO","CÓRDOBA","8.87550224563","-75.6207866383","0","1","1","0","0","0","0","","","100","2020-04-08 15:35:00"
"CIRCASIA","QUINDÍO","4.61779204337","-75.636528232","3","3","0","0","3","0","0","","","","2020-04-08 15:35:00"
"COCORNA","ANTIOQUIA","6.05830633507","-75.185481011","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"COTA","CUNDINAMARCA","4.81298776927","-74.1027264632","9","9","0","0","9","0","0","","","","2020-04-08 15:35:00"
"CUCUTA","NORTE DE SANTANDER","7.90530629465","-72.5082561962","22","25","1","2","20","1","1","2","8","4","2020-04-08 15:35:00"
"CUMBAL","NARIÑO","0.906185360866","-77.7922766205","2","2","0","0","2","0","0","","","","2020-04-08 15:35:00"
"DARIEN","VALLE DEL CAUCA","3.93352446268","-76.4843917469","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"DON MATIAS","ANTIOQUIA","6.485833","-75.395278","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"DOSQUEBRADAS","RISARALDA","4.82718783235","-75.6824691212","10","10","0","0","8","0","2","2","20","","2020-04-08 15:35:00"
"EL DOVIO","VALLE DEL CAUCA","4.51045288499","-76.2370841098","4","4","0","0","4","0","0","","","","2020-04-08 15:35:00"
