"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Hospitalization_Rate","Mortality_Rate","Last_Update"
"ACACIAS","META","3.99012066334","-73.765936654","1","1","0","0","1","0","0","","","","2020-04-15 15:42:00"
"AGRADO","HUILA","2.2597293939","-75.771903578","1","1","0","0","1","0","0","","","","2020-04-15 15:42:00"
"ANAPOIMA","CUNDINAMARCA","4.56295617479","-74.5285175294","0","2","0","2","0","0","0","","","","2020-04-15 15:42:00"
"ANDALUCIA","VALLE DEL CAUCA","8.97734579987","-75.3750059494","1","1","0","0","0","1","0","1","100","","2020-04-15 15:42:00"
"ANGOSTURA","ANTIOQUIA","6.88517459133","-75.3351159651","1","1","0","0","1","0","0","","","","2020-04-15 15:42:00"
"ANSERMA","CALDAS","5.23647439108","-75.7843426615","1","1","0","0","1","0","0","","","","2020-04-15 15:42:00"
"APARTADO","ANTIOQUIA","7.88341740579","-76.6259606537","4","4","0","0","4","0","0","","","","2020-04-15 15:42:00"
"ARJONA","BOLÍVAR","10.2566315237","-75.3444884486","2","2","0","0","2","0","0","","","","2020-04-15 15:42:00"
"ARMENIA","QUINDÍO","6.15581872915","-75.7868378278","24","35","1","10","20","4","0","4","11.428571428571","2.8571428571429","2020-04-15 15:42:00"
"BARANOA","ATLÁNTICO","10.7948804772","-74.9160998139","2","2","0","0","2","0","0","","","","2020-04-15 15:42:00"
"BARRANCABERMEJA","SANTANDER","7.06496386399","-73.8499569753","4","5","1","0","4","0","0","","","20","2020-04-15 15:42:00"
"BARRANQUILLA","BARRANQUILLA D.E.","10.9759268186","-74.7952590482","53","70","3","14","45","6","2","8","11.428571428571","4.2857142857143","2020-04-15 15:42:00"
"BELLO","ANTIOQUIA","6.33406883641","-75.554665073","19","22","0","3","18","0","1","1","4.5454545454545","","2020-04-15 15:42:00"
"BOGOTA","BOGOTÁ D.C.","4.65017303026","-74.1073590032","1122","1295","55","118","926","152","44","196","15.135135135135","4.2471042471042","2020-04-15 15:42:00"
"BUCARAMANGA","SANTANDER","7.11626727561","-73.1325981781","12","14","0","2","12","0","0","","","","2020-04-15 15:42:00"
"BUENAVENTURA","BUENAVENTURA D.E.","9.86146026968","-75.4969153426","10","10","0","0","4","4","2","6","60","","2020-04-15 15:42:00"
"BUGA","VALLE DEL CAUCA","3.90082354377","-76.2989611331","4","6","0","2","3","1","0","1","16.666666666667","","2020-04-15 15:42:00"
"BUGALAGRANDE","VALLE DEL CAUCA","4.20833159173","-76.1568077444","1","1","0","0","1","0","0","","","","2020-04-15 15:42:00"
"CAJICA","CUNDINAMARCA","4.92080905869","-74.0234539659","8","11","0","3","7","1","0","1","9.0909090909091","","2020-04-15 15:42:00"
