"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospitalization_Rate","Mortality_Rate","Recovery_Rates","Last_Update"
"ACACIAS","META","-73.765936654","3.99012066334","0","1","0","1","0","0","0","","","","100","2020-04-20 16:28:00"
"ACEVEDO","HUILA","1.80526322752","-75.8885315631","1","1","0","0","0","1","0","1","100","","","2020-04-20 16:28:00"
"AGRADO","HUILA","2.2597293939","-75.771903578","1","1","0","0","1","0","0","","","","","2020-04-20 16:28:00"
"AIPE","HUILA","3.22359756208","-75.2390311845","1","1","0","0","1","0","0","","","","","2020-04-20 16:28:00"
"AMAGA","ANTIOQUIA","-75.7019460715","6.03880857536","1","1","0","0","1","0","0","","","","","2020-04-20 16:28:00"
"ANAPOIMA","CUNDINAMARCA","4.56295617479","-74.5285175294","0","2","0","2","0","0","0","","","","100","2020-04-20 16:28:00"
"ANDALUCIA","VALLE DEL CAUCA","-75.3750059494","8.97734579987","1","1","0","0","0","1","0","1","100","","","2020-04-20 16:28:00"
"ANGOSTURA","ANTIOQUIA","6.88517459133","-75.3351159651","1","1","0","0","1","0","0","","","","","2020-04-20 16:28:00"
"ANSERMA","CALDAS","5.23647439108","-75.7843426615","1","1","0","0","1","0","0","","","","","2020-04-20 16:28:00"
"APARTADO","ANTIOQUIA","-76.6259606537","7.88341740579","3","4","0","1","3","0","0","","","","25","2020-04-20 16:28:00"
"AQUITANIA","BOYACA","5.83964314212","-74.9691761004","1","1","0","0","1","0","0","","","","","2020-04-20 16:28:00"
"ARJONA","BOLIVAR","10.2566315237","-75.3444884486","3","3","0","0","3","0","0","","","","","2020-04-20 16:28:00"
"ARMENIA","QUINDIO","6.15581872915","-75.7868378278","25","41","1","15","23","1","1","2","4.8780487804878","2.4390243902439","36.585365853659","2020-04-20 16:28:00"
"BARANOA","ATLANTICO","10.7948804772","-74.9160998139","2","2","0","0","2","0","0","","","","","2020-04-20 16:28:00"
"BARRANCABERMEJA","SANTANDER","7.06496386399","-73.8499569753","5","6","1","0","5","0","0","","","16.666666666667","","2020-04-20 16:28:00"
"BARRANCO DE LOBA","BOLIVAR","8.94773015812","-74.1052242834","0","1","1","0","0","0","0","","","100","","2020-04-20 16:28:00"
"BARRANQUILLA","BARRANQUILLA D.E.","10.9759268186","-74.7952590482","45","80","3","32","37","4","4","8","10","3.75","40","2020-04-20 16:28:00"
"BELLO","ANTIOQUIA","6.33406883641","-75.554665073","26","38","1","11","24","1","1","2","5.2631578947368","2.6315789473684","28.947368421053","2020-04-20 16:28:00"
"BOGOTA D.C.","BOGOTA D.C.","-74.1073590032","4.65017303026","1342","1682","73","267","1202","108","32","140","8.3234244946492","4.3400713436385","15.873959571938","2020-04-20 16:28:00"
"BUCARAMANGA","SANTANDER","7.11626727561","-73.1325981781","10","16","0","6","10","0","0","","","","37.5","2020-04-20 16:28:00"
"BUENAVENTURA","BUENAVENTURA D.E.","9.86146026968","-75.4969153426","14","15","1","0","10","2","2","4","26.666666666667","6.6666666666667","","2020-04-20 16:28:00"
"BUGALAGRANDE","VALLE DEL CAUCA","4.20833159173","-76.1568077444","1","1","0","0","1","0","0","","","","","2020-04-20 16:28:00"
"CAJICA","CUNDINAMARCA","-74.0234539659","4.92080905869","8","12","0","4","6","2","0","2","16.666666666667","","33.333333333333","2020-04-20 16:28:00"
"CALARCA","QUINDIO","-75.6490883624","4.51528184598","6","6","0","0","6","0","0","","","","","2020-04-20 16:28:00"
"CALDAS","ANTIOQUIA","6.09129696608","-75.6336187219","2","3","0","1","2","0","0","","","","33.333333333333","2020-04-20 16:28:00"
"CALI","VALLE DEL CAUCA","3.41441430458","-76.5215651508","437","528","29","62","322","91","24","115","21.780303030303","5.4924242424242","11.742424242424","2020-04-20 16:28:00"
"CANDELARIA","VALLE DEL CAUCA","10.4612172348","-74.879912602","3","3","0","0","3","0","0","","","","","2020-04-20 16:28:00"
"CARTAGENA DE INDIAS","CARTAGENA D.T. Y C.","-75.496431028","10.3849855226","124","182","13","45","98","24","2","26","14.285714285714","7.1428571428571","24.725274725275","2020-04-20 16:28:00"
"CARTAGO","VALLE DEL CAUCA","4.75875509757","-75.9422640436","4","10","0","6","4","0","0","","","","60","2020-04-20 16:28:00"
"CERETE","CORDOBA","-75.7962165157","8.88861181239","1","1","0","0","1","0","0","","","","","2020-04-20 16:28:00"
"CHIA","CUNDINAMARCA","-74.0503468211","4.86606542368","19","23","0","4","19","0","0","","","","17.391304347826","2020-04-20 16:28:00"
"CHINCHINA","CALDAS","-75.6074807289","4.98581286197","1","4","0","3","1","0","0","","","","75","2020-04-20 16:28:00"
"CHOACHI","CUNDINAMARCA","-73.9228944808","4.52704792092","0","1","0","1","0","0","0","","","","100","2020-04-20 16:28:00"
"CHOCONTA","CUNDINAMARCA","-73.6835234355","5.14522389367","1","1","0","0","1","0","0","","","","","2020-04-20 16:28:00"
"CIENAGA","MAGDALENA","-74.2412861592","11.0066568813","14","15","0","1","13","0","1","1","6.6666666666667","","6.6666666666667","2020-04-20 16:28:00"
"CIENAGA DE ORO","CORDOBA","-75.6207866383","8.87550224563","0","1","1","0","0","0","0","","","100","","2020-04-20 16:28:00"
"CIMITARRA","SANTANDER","6.32068186747","-73.9525821232","2","2","0","0","2","0","0","","","","","2020-04-20 16:28:00"
"CIRCASIA","QUINDIO","4.61779204337","-75.636528232","2","3","0","1","2","0","0","","","","33.333333333333","2020-04-20 16:28:00"
"COCORNA","ANTIOQUIA","-75.185481011","6.05830633507","1","1","0","0","1","0","0","","","","","2020-04-20 16:28:00"
"COGUA","CUNDINAMARCA","5.06184179776","-73.9784966905","1","1","0","0","0","1","0","1","100","","","2020-04-20 16:28:00"
"CONCEPCION","SANTANDER","-75.2576027037","6.39434709534","1","1","0","0","1","0","0","","","","","2020-04-20 16:28:00"
"CONTADERO","NARIÑO","0.91045786274","-77.5494090245","1","1","0","0","1","0","0","","","","","2020-04-20 16:28:00"
"COPACABANA","ANTIOQUIA","6.34864054523","-75.5093439031","5","5","0","0","5","0","0","","","","","2020-04-20 16:28:00"
"COTA","CUNDINAMARCA","4.81298776927","-74.1027264632","5","9","0","4","5","0","0","","","","44.444444444444","2020-04-20 16:28:00"
"CUCUTA","NORTE DE SANTANDER","-72.5082561962","7.90530629465","40","54","3","11","37","1","2","3","5.5555555555556","5.5555555555556","20.37037037037","2020-04-20 16:28:00"
"CUMBAL","NARIÑO","0.906185360866","-77.7922766205","3","3","0","0","3","0","0","","","","","2020-04-20 16:28:00"
"CUMBITARA","NARIÑO","1.64684597096","-77.5781467265","1","1","0","0","1","0","0","","","","","2020-04-20 16:28:00"
