"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Last_Update"
"Acacías","Meta","3.99012066334","-73.765936654","4","5","0","1","4","0","0","","","80","","","","20","80","2020-04-24 10:18:00"
"Acevedo","Huila","1.80526322752","-75.8885315631","1","1","0","0","0","1","0","1","100","","100","","","","100","2020-04-24 10:18:00"
"Agrado","Huila","2.2597293939","-75.771903578","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Aipe","Huila","3.22359756208","-75.2390311845","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Amagá","Antioquia","6.03880857536","-75.7019460715","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Anapoima","Cundinamarca","4.56295617479","-74.5285175294","0","2","0","2","0","0","0","","","","","","","100","","2020-04-24 10:18:00"
"Andalucía","Valle del Cauca","8.97734579987","-75.3750059494","1","1","0","0","0","1","0","1","100","","100","","","","100","2020-04-24 10:18:00"
"Angostura","Antioquia","6.88517459133","-75.3351159651","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Anserma","Caldas","5.23647439108","-75.7843426615","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Apartadó","Antioquia","7.88341740579","-76.6259606537","3","4","0","1","3","0","0","","","75","","","","25","75","2020-04-24 10:18:00"
"Aquitania","Boyacá","5.83964314212","-74.9691761004","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Arjona","Bolívar","10.2566315237","-75.3444884486","4","4","0","0","4","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Armenia","Quindio","6.15581872915","-75.7868378278","23","41","1","17","23","0","0","","","56.09756097561","","","2.4390243902439","41.463414634146","56.09756097561","2020-04-24 10:18:00"
"Baranoa","Atlántico","10.7948804772","-74.9160998139","2","2","0","0","2","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Barbosa","Antioquia","6.43922688162","-75.3316442322","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Barrancabermeja","Santander","7.06496386399","-73.8499569753","3","6","1","2","3","0","0","","","50","","","16.666666666667","33.333333333333","50","2020-04-24 10:18:00"
"Barranco de Loba","Bolívar","8.94773015812","-74.1052242834","0","1","1","0","0","0","0","","","","","","100","","","2020-04-24 10:18:00"
"Barranquilla","Barranquilla D.E.","10.9759268186","-74.7952590482","56","94","5","33","49","4","3","7","7.4468085106383","52.127659574468","4.2553191489362","3.1914893617021","5.3191489361702","35.106382978723","59.574468085106","2020-04-24 10:18:00"
"Bello","Antioquia","6.33406883641","-75.554665073","36","49","1","12","35","0","1","1","2.0408163265306","71.428571428571","","2.0408163265306","2.0408163265306","24.489795918367","73.469387755102","2020-04-24 10:18:00"
"Bogotá D.C.","Bogotá D.C.","4.65017303026","-74.1073590032","1614","2065","81","370","1475","101","38","139","6.7312348668281","71.428571428571","4.8910411622276","1.8401937046005","3.9225181598063","17.917675544794","78.1598062954","2020-04-24 10:18:00"
"Bosconia","Cesar","9.97509470036","-73.8887676643","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Bucaramanga","Santander","7.11626727561","-73.1325981781","7","19","1","11","7","0","0","","","36.842105263158","","","5.2631578947368","57.894736842105","36.842105263158","2020-04-24 10:18:00"
"Buenaventura","Buenaventura D.E.","9.86146026968","-75.4969153426","18","19","1","0","16","0","2","2","10.526315789474","84.210526315789","","10.526315789474","5.2631578947368","","94.736842105263","2020-04-24 10:18:00"
"Bugalagrande","Valle del Cauca","4.20833159173","-76.1568077444","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Cajicá","Cundinamarca","4.92080905869","-74.0234539659","9","14","0","5","8","1","0","1","7.1428571428571","57.142857142857","7.1428571428571","","","35.714285714286","64.285714285714","2020-04-24 10:18:00"
"Calamar","Bolívar","10.2519633588","-74.9136292818","0","1","1","0","0","0","0","","","","","","100","","","2020-04-24 10:18:00"
"Calarcá","Quindio","4.51528184598","-75.6490883624","6","6","0","0","6","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Caldas","Antioquia","6.09129696608","-75.6336187219","1","3","0","2","1","0","0","","","33.333333333333","","","","66.666666666667","33.333333333333","2020-04-24 10:18:00"
"Cali","Valle del Cauca","3.41441430458","-76.5215651508","505","626","39","82","410","61","34","95","15.17571884984","65.495207667732","9.7444089456869","5.4313099041534","6.2300319488818","13.099041533546","80.670926517572","2020-04-24 10:18:00"
"Calima","Valle del Cauca","3.93352446268","-76.4843917469","0","1","0","1","0","0","0","","","","","","","100","","2020-04-24 10:18:00"
"Candelaria","Valle del Cauca","10.4612172348","-74.879912602","3","3","0","0","3","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Cartagena de Indias","Cartagena D.T. y C.","10.3849855226","-75.496431028","127","200","17","56","105","14","8","22","11","52.5","7","4","8.5","28","63.5","2020-04-24 10:18:00"
"Cartago","Valle del Cauca","4.75875509757","-75.9422640436","3","9","0","6","3","0","0","","","33.333333333333","","","","66.666666666667","33.333333333333","2020-04-24 10:18:00"
"Cereté","Córdoba","8.88861181239","-75.7962165157","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Chía","Cundinamarca","4.86606542368","-74.0503468211","19","25","0","6","19","0","0","","","76","","","","24","76","2020-04-24 10:18:00"
"Chinchiná","Caldas","4.98581286197","-75.6074807289","1","4","0","3","1","0","0","","","25","","","","75","25","2020-04-24 10:18:00"
