"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospital_Capacity","Hospital_Capacity_Rate","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Last_Update"
"Acacías","Meta","3.99012066334","-73.765936654","6","7","0","1","6","0","0","","23","","","85.714285714286","","","","14.285714285714","85.714285714286","2020-04-28 17:13:00"
"Acevedo","Huila","1.80526322752","-75.8885315631","1","1","0","0","0","1","0","1","10","10","100","","100","","","","100","2020-04-28 17:13:00"
"Agrado","Huila","2.2597293939","-75.771903578","1","1","0","0","1","0","0","","5","","","100","","","","","100","2020-04-28 17:13:00"
"Aguachica","Cesar","8.31033695838","-73.599028585","2","3","1","0","1","0","1","1","369","0.2710027100271","33.333333333333","33.333333333333","","33.333333333333","33.333333333333","","66.666666666667","2020-04-28 17:13:00"
"Agustín Codazzi","Cesar","10.0404579941","-73.2383961682","1","1","0","0","0","1","0","1","119","0.84033613445378","100","","100","","","","100","2020-04-28 17:13:00"
"Aipe","Huila","3.22359756208","-75.2390311845","1","1","0","0","0","1","0","1","8","12.5","100","","100","","","","100","2020-04-28 17:13:00"
"Amagá","Antioquia","6.03880857536","-75.7019460715","1","1","0","0","1","0","0","","10","","","100","","","","","100","2020-04-28 17:13:00"
"Anapoima","Cundinamarca","4.56295617479","-74.5285175294","0","2","0","2","0","0","0","","0","","","","","","","100","","2020-04-28 17:13:00"
"Andalucía","Valle del Cauca","8.97734579987","-75.3750059494","1","1","0","0","0","1","0","1","10","10","100","","100","","","","100","2020-04-28 17:13:00"
"Andes","Antioquia","5.65677485248","-75.8787918873","1","1","0","0","1","0","0","","20","","","100","","","","","100","2020-04-28 17:13:00"
"Angostura","Antioquia","6.88517459133","-75.3351159651","1","1","0","0","1","0","0","","6","","","100","","","","","100","2020-04-28 17:13:00"
"Anserma","Caldas","5.23647439108","-75.7843426615","0","1","0","1","0","0","0","","20","","","","","","","100","","2020-04-28 17:13:00"
"Apartadó","Antioquia","7.88341740579","-76.6259606537","2","4","0","2","2","0","0","","317","","","50","","","","50","50","2020-04-28 17:13:00"
"Aquitania","Boyacá","5.83964314212","-74.9691761004","1","1","0","0","1","0","0","","7","","","100","","","","","100","2020-04-28 17:13:00"
"Arjona","Bolívar","10.2566315237","-75.3444884486","3","4","0","1","3","0","0","","20","","","75","","","","25","75","2020-04-28 17:13:00"
"Armenia","Quindio","6.15581872915","-75.7868378278","26","45","1","18","25","0","1","1","6","16.666666666667","2.2222222222222","55.555555555556","","2.2222222222222","2.2222222222222","40","57.777777777778","2020-04-28 17:13:00"
"Baranoa","Atlántico","10.7948804772","-74.9160998139","0","2","0","2","0","0","0","","436","","","","","","","100","","2020-04-28 17:13:00"
"Barbosa","Antioquia","6.43922688162","-75.3316442322","1","1","0","0","1","0","0","","14","","","100","","","","","100","2020-04-28 17:13:00"
"Barrancabermeja","Santander","7.06496386399","-73.8499569753","1","6","1","4","1","0","0","","399","","","16.666666666667","","","16.666666666667","66.666666666667","16.666666666667","2020-04-28 17:13:00"
"Barranco de Loba","Bolívar","8.94773015812","-74.1052242834","0","1","1","0","0","0","0","","12","","","","","","100","","","2020-04-28 17:13:00"
"Barranquilla","Barranquilla D.E.","10.9759268186","-74.7952590482","98","139","6","35","92","3","3","6","5198","0.11542901115814","4.3165467625899","66.187050359712","2.158273381295","2.158273381295","4.3165467625899","25.179856115108","70.503597122302","2020-04-28 17:13:00"
"Belén","Nariño","1.5956760655","-77.0156657294","1","1","0","0","1","0","0","","0","","","100","","","","","100","2020-04-28 17:13:00"
"Bello","Antioquia","6.33406883641","-75.554665073","36","50","1","13","34","1","1","2","711","0.28129395218003","4","68","2","2","2","26","72","2020-04-28 17:13:00"
"Bogotá D.C.","Bogotá D.C.","4.65017303026","-74.1073590032","1873","2408","90","445","1711","125","37","162","14525","1.1153184165232","6.7275747508306","71.054817275748","5.1910299003322","1.5365448504983","3.7375415282392","18.480066445183","77.782392026578","2020-04-28 17:13:00"
"Bosconia","Cesar","9.97509470036","-73.8887676643","1","1","0","0","1","0","0","","191","","","100","","","","","100","2020-04-28 17:13:00"
"Bucaramanga","Santander","7.11626727561","-73.1325981781","8","20","1","11","8","0","0","","1961","","","40","","","5","55","40","2020-04-28 17:13:00"
"Buenaventura","Buenaventura D.E.","3.87580243673","-77.0117402003","22","24","1","1","20","0","2","2","250","0.8","8.3333333333333","83.333333333333","","8.3333333333333","4.1666666666667","4.1666666666667","91.666666666667","2020-04-28 17:13:00"
"Bugalagrande","Valle del Cauca","4.20833159173","-76.1568077444","1","1","0","0","1","0","0","","11","","","100","","","","","100","2020-04-28 17:13:00"
"Cajicá","Cundinamarca","4.92080905869","-74.0234539659","9","16","0","7","8","1","0","1","36","2.7777777777778","6.25","50","6.25","","","43.75","56.25","2020-04-28 17:13:00"
"Calamar","Bolívar","10.2519633588","-74.9136292818","0","1","1","0","0","0","0","","15","","","","","","100","","","2020-04-28 17:13:00"
"Calarcá","Quindio","4.51528184598","-75.6490883624","5","6","0","1","5","0","0","","51","","","83.333333333333","","","","16.666666666667","83.333333333333","2020-04-28 17:13:00"
"Caldas","Antioquia","6.09129696608","-75.6336187219","0","3","0","3","0","0","0","","98","","","","","","","100","","2020-04-28 17:13:00"
"Cali","Valle del Cauca","3.41441430458","-76.5215651508","531","696","42","123","430","70","31","101","5888","1.7153532608696","14.511494252874","61.781609195402","10.057471264368","4.4540229885057","6.0344827586207","17.672413793103","76.293103448276","2020-04-28 17:13:00"
"Calima","Valle del Cauca","3.93352446268","-76.4843917469","0","1","0","1","0","0","0","","11","","","","","","","100","","2020-04-28 17:13:00"
"Candelaria","Valle del Cauca","10.4612172348","-74.879912602","3","3","0","0","3","0","0","","4","","","100","","","","","100","2020-04-28 17:13:00"
"Cartagena de Indias","Cartagena D.T. y C.","10.3849855226","-75.496431028","145","235","21","69","121","18","6","24","3177","0.75542965061379","10.212765957447","51.489361702128","7.6595744680851","2.5531914893617","8.936170212766","29.36170212766","61.702127659574","2020-04-28 17:13:00"
"Cartago","Valle del Cauca","4.75875509757","-75.9422640436","5","11","0","6","5","0","0","","193","","","45.454545454545","","","","54.545454545455","45.454545454545","2020-04-28 17:13:00"
"Cereté","Córdoba","8.88861181239","-75.7962165157","1","1","0","0","1","0","0","","111","","","100","","","","","100","2020-04-28 17:13:00"
"Chía","Cundinamarca","4.86606542368","-74.0503468211","13","27","1","13","13","0","0","","250","","","48.148148148148","","","3.7037037037037","48.148148148148","48.148148148148","2020-04-28 17:13:00"
"Chinchiná","Caldas","4.98581286197","-75.6074807289","1","4","0","3","1","0","0","","77","","","25","","","","75","25","2020-04-28 17:13:00"
"Choachí","Cundinamarca","4.52704792092","-73.9228944808","0","1","0","1","0","0","0","","0","","","","","","","100","","2020-04-28 17:13:00"
"Ciénaga","Magdalena","11.0066568813","-74.2412861592","22","24","1","1","21","1","0","1","204","0.49019607843137","4.1666666666667","87.5","4.1666666666667","","4.1666666666667","4.1666666666667","91.666666666667","2020-04-28 17:13:00"
"Ciénaga de Oro","Córdoba","8.87550224563","-75.6207866383","0","1","1","0","0","0","0","","12","","","","","","100","","","2020-04-28 17:13:00"
"Cimitarra","Santander","6.32068186747","-73.9525821232","0","2","0","2","0","0","0","","21","","","","","","","100","","2020-04-28 17:13:00"
"Circasia","Quindio","4.61779204337","-75.636528232","2","3","0","1","2","0","0","","13","","","66.666666666667","","","","33.333333333333","66.666666666667","2020-04-28 17:13:00"
"Cocorná","Antioquia","6.05830633507","-75.185481011","1","1","0","0","1","0","0","","5","","","100","","","","","100","2020-04-28 17:13:00"
"Codazzi","Cesar","10.0404579941","-73.2383961682","1","1","0","0","0","1","0","1","119","0.84033613445378","100","","100","","","","100","2020-04-28 17:13:00"
"Cogua","Cundinamarca","5.06184179776","-73.9784966905","1","1","0","0","0","1","0","1","0","","100","","100","","","","100","2020-04-28 17:13:00"
"Concepción","Santander","6.39434709534","-75.2576027037","0","1","0","1","0","0","0","","3","","","","","","","100","","2020-04-28 17:13:00"
"Contadero","Nariño","0.91045786274","-77.5494090245","0","1","0","1","0","0","0","","1","","","","","","","100","","2020-04-28 17:13:00"
"Copacabana","Antioquia","6.34864054523","-75.5093439031","6","7","0","1","6","0","0","","12","","","85.714285714286","","","","14.285714285714","85.714285714286","2020-04-28 17:13:00"
"Cota","Cundinamarca","4.81298776927","-74.1027264632","2","9","0","7","2","0","0","","0","","","22.222222222222","","","","77.777777777778","22.222222222222","2020-04-28 17:13:00"
"Cuaspúd","Nariño","0.862978103157","-77.728946826","1","1","0","0","1","0","0","","0","","","100","","","","","100","2020-04-28 17:13:00"
"Cúcuta","Norte de Santander","7.90530629465","-72.5082561962","35","62","4","23","32","2","1","3","1505","0.19933554817276","4.8387096774194","51.612903225806","3.2258064516129","1.6129032258065","6.4516129032258","37.096774193548","56.451612903226","2020-04-28 17:13:00"
