"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospital_Beds","Total_Hospital_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Recovery_Rates","Active_Rate","Last_Update"
"Leticia","Amazonas","-4.19983693453","-69.9414267076","173","182","9","0","158","15","0","15","70","21.428571428571","8.2417582417582","86.813186813187","8.2417582417582","","4.9450549450549","","95.054945054945","2020-05-03 16:46:00"
"Amagá","Antioquia","6.03880857536","-75.7019460715","1","1","0","0","1","0","0","","5","","","100","","","","","100","2020-05-03 16:46:00"
"Andes","Antioquia","5.65677485248","-75.8787918873","1","1","0","0","1","0","0","","10","","","100","","","","","100","2020-05-03 16:46:00"
"Angostura","Antioquia","6.88517459133","-75.3351159651","1","1","0","0","1","0","0","","3","","","100","","","","","100","2020-05-03 16:46:00"
"Apartadó","Antioquia","7.88341740579","-76.6259606537","2","4","0","2","2","0","0","","158","","","50","","","","50","50","2020-05-03 16:46:00"
"Barbosa","Antioquia","6.43922688162","-75.3316442322","1","1","0","0","1","0","0","","7","","","100","","","","","100","2020-05-03 16:46:00"
"Bello","Antioquia","6.33406883641","-75.554665073","27","48","1","20","25","1","1","2","355","0.56338028169014","4.1666666666667","52.083333333333","2.0833333333333","2.0833333333333","2.0833333333333","41.666666666667","56.25","2020-05-03 16:46:00"
"Caldas","Antioquia","6.09129696608","-75.6336187219","1","4","0","3","0","1","0","1","49","2.0408163265306","25","","25","","","75","25","2020-05-03 16:46:00"
"Cocorná","Antioquia","6.05830633507","-75.185481011","1","1","0","0","1","0","0","","2","","","100","","","","","100","2020-05-03 16:46:00"
"Copacabana","Antioquia","6.34864054523","-75.5093439031","7","8","0","1","7","0","0","","6","","","87.5","","","","12.5","87.5","2020-05-03 16:46:00"
"Donmatías","Antioquia","6.485833","-75.395278","0","1","0","1","0","0","0","","3","","","","","","","100","","2020-05-03 16:46:00"
"El Santuario","Antioquia","6.13704685813","-75.2658497944","0","1","0","1","0","0","0","","3","","","","","","","100","","2020-05-03 16:46:00"
"Envigado","Antioquia","6.16700455162","-75.5830101409","9","26","0","17","9","0","0","","131","","","34.615384615385","","","","65.384615384615","34.615384615385","2020-05-03 16:46:00"
"Frontino","Antioquia","6.77606591161","-76.1307651388","0","1","0","1","0","0","0","","5","","","","","","","100","","2020-05-03 16:46:00"
"Girardota","Antioquia","6.37961383411","-75.444462208","1","1","0","0","1","0","0","","4","","","100","","","","","100","2020-05-03 16:46:00"
"Granada","Antioquia","6.14289666655","-75.1844450829","4","5","1","0","3","1","0","1","1","100","20","60","20","","20","","80","2020-05-03 16:46:00"
"Guarne","Antioquia","6.2780640767","-75.441653922","1","3","0","2","1","0","0","","4","","","33.333333333333","","","","66.666666666667","33.333333333333","2020-05-03 16:46:00"
"Guatapé","Antioquia","6.23259270739","-75.1622925892","1","2","0","1","0","1","0","1","2","50","50","","50","","","50","50","2020-05-03 16:46:00"
"Itagüí","Antioquia","6.16959762893","-75.6143587142","6","13","0","7","4","1","1","2","168","1.1904761904762","15.384615384615","30.769230769231","7.6923076923077","7.6923076923077","","53.846153846154","46.153846153846","2020-05-03 16:46:00"
