"ID_Deparment","Department","DIVIPOLA","Capital","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","People_Hospitalized","Hospital_Beds","Hospital_Beds_Utilisation","ICU_Beds","ICU_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Cases_Share_Of_Population","Deaths_Share_Of_Population","Last_Update"
"91","Amazonas","13001","Leticia","-4.199836935","-69.94142671","1575","1761","58","128","1515","54","5","5841","59","64","0.844","0","","0.034","0.860","0.031","0.003","0.033","0.7339914","0.073","0.894","0.301","45.000","1362.000","2020-05-28 17:28:00"
"5","Antioquia","5001","Medellin","5.610109776","-74.88681663","590","1005","6","409","571","14","5","39187","19","3851","0.004","381","0.013","0.019","0.568","0.014","0.005","0.006","0.0008985","0.407","0.587","0.026","6645.000","1112988.000","2020-05-28 17:28:00"
"81","Arauca","17524","Arauca","7.077358544","-70.74635031","1","1","0","0","1","0","0","981","0","130","0.000","2","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","0.001","294206.000","","2020-05-28 17:28:00"
"88","Archipielago de San Andres Providencia y Santa Catalina","5308","San Andres","12.58301369","-81.69606298","6","17","0","11","6","0","0","433","0","46","0.000","3","0.000","0.000","0.353","0.000","0.000","0.000","0.0000000","0.647","0.353","0.039","3747.000","","2020-05-28 17:28:00"
"8","Atlantico","8001","Barranquilla","10.97592682","-74.79525905","2777","3277","79","421","2612","129","33","18747","162","2922","0.044","326","0.101","0.049","0.797","0.039","0.010","0.024","0.0290214","0.128","0.847","0.175","831.000","34457.000","2020-05-28 17:28:00"
"11","Bogota D.C.","11001","Bogota D.C.","4.65017303","-74.107359","5470","8536","229","2837","4996","403","64","89385","467","5159","0.078","743","0.086","0.055","0.585","0.047","0.007","0.027","0.0295715","0.332","0.641","0.095","907.000","33816.000","2020-05-28 17:28:00"
"13","Bolivar","13001","Cartagena de Indias","-4.199836935","-69.94142671","2125","2662","131","406","1907","181","36","17221","217","1679","0.108","148","0.243","0.082","0.716","0.068","0.014","0.049","0.0600649","0.153","0.798","0.155","819.000","16649.000","2020-05-28 17:28:00"
"15","Boyaca","15001","Tunja","5.539953238","-73.35548873","109","182","7","66","97","8","1","6487","9","635","0.013","48","0.021","0.049","0.533","0.044","0.005","0.038","0.0056328","0.363","0.599","0.028","6828.000","177533.000","2020-05-28 17:28:00"
"17","Caldas","5120","Manizales","7.836837561","-75.41436144","45","135","6","84","42","2","1","4533","3","835","0.002","85","0.012","0.022","0.311","0.015","0.007","0.044","0.0058913","0.622","0.333","0.030","7544.000","169742.000","2020-05-28 17:28:00"
"18","Caqueta","13430","Florencia","9.313668722","-74.89151608","16","24","1","7","15","1","0","926","1","250","0.004","12","0.000","0.042","0.625","0.042","0.000","0.042","0.0024359","0.292","0.667","0.026","17105.000","410521.000","2020-05-28 17:28:00"
"85","Casanare","85001","Yopal","5.327612651","-72.39691516","15","33","0","18","15","0","0","1323","0","219","0.000","16","0.000","0.000","0.455","0.000","0.000","0.000","0.0000000","0.545","0.455","0.025","13188.000","","2020-05-28 17:28:00"
