"DIVIPOLA","City_Municipality","ID_Deparment","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospital_Beds","Total_Hospital_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Cases_Share_Of_Population","Deaths_Share_Of_Population","Last_Update"
"5001","Medellin","5","Antioquia","5.610109776","-74.88681663","840","1504","11","653","754","75","11","86","2885","0.030","0.057","0.501","0.050","0.007","0.007","0.4341950","0.434","0.559","1684","230311","2020-06-25 16:44:00"
"5030","Amaga","5","Antioquia","6.038808575","-75.70194607","1","3","0","2","1","0","0","0","5","0.000","0.000","0.333","0.000","0.000","0.000","0.0000000","0.667","0.333","10428","","2020-06-25 16:44:00"
"5034","Andes","5","Antioquia","5.656774852","-75.87879189","0","1","0","1","0","0","0","0","10","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","44199","","2020-06-25 16:44:00"
"5038","Angostura","5","Antioquia","6.885174591","-75.33511597","0","1","0","1","0","0","0","0","3","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","11536","","2020-06-25 16:44:00"
"5040","Anori","5","Antioquia","7.074707669","-75.14834842","1","1","0","0","1","0","0","0","2","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","19104","","2020-06-25 16:44:00"
"5042","Santa Fe de Antioquia","5","Antioquia","6.556533296","-75.82707907","3","3","0","0","3","0","0","0","25","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","9001","","2020-06-25 16:44:00"
"5044","Anza","5","Antioquia","6.302658359","-75.85444158","4","4","0","0","4","0","0","0","2","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","1792","","2020-06-25 16:44:00"
"5045","Apartado","5","Antioquia","7.883417406","-76.62596065","52","76","0","24","51","1","0","1","158","0.006","0.013","0.671","0.013","0.000","0.000","0.0000000","0.316","0.684","1681","","2020-06-25 16:44:00"
"5051","Arboletes","5","Antioquia","8.850567734","-76.4270568","9","9","0","0","6","3","0","3","4","0.750","0.333","0.667","0.333","0.000","0.000","0.0000000","0.000","1.000","3390","","2020-06-25 16:44:00"
"5079","Barbosa","5","Antioquia","6.439226882","-75.33164423","6","10","0","4","6","0","0","0","7","0.000","0.000","0.600","0.000","0.000","0.000","0.0000000","0.400","0.600","5435","","2020-06-25 16:44:00"
"5088","Bello","5","Antioquia","6.334068836","-75.55466507","139","256","4","113","120","14","5","19","355","0.054","0.074","0.469","0.055","0.020","0.016","0.7244356","0.441","0.543","2157","138039","2020-06-25 16:44:00"
"5101","Ciudad Bolivar","5","Antioquia","5.850273232","-76.02150921","1","1","0","0","1","0","0","0","23","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","26313","","2020-06-25 16:44:00"
"5113","Buritica","5","Antioquia","6.719735175","-75.90753473","1","1","0","0","1","0","0","0","3","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","9634","","2020-06-25 16:44:00"
"5120","Caceres","5","Antioquia","7.578315451","-75.35235749","2","2","0","0","2","0","0","0","5","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","15178","","2020-06-25 16:44:00"
"5129","Caldas","5","Antioquia","6.091296966","-75.63361872","10","15","0","5","9","1","0","1","49","0.020","0.067","0.600","0.067","0.000","0.000","0.0000000","0.333","0.667","5562","","2020-06-25 16:44:00"
"5138","Canasgordas","5","Antioquia","6.759477684","-76.03220994","1","3","0","2","1","0","0","0","3","0.000","0.000","0.333","0.000","0.000","0.000","0.0000000","0.667","0.333","5184","","2020-06-25 16:44:00"
"5142","Caracoli","5","Antioquia","6.409854727","-74.75744944","1","1","0","0","1","0","0","0","1","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","4532","","2020-06-25 16:44:00"
"5147","Carepa","5","Antioquia","7.755116346","-76.65321034","234","351","0","117","233","1","0","1","11","0.091","0.003","0.664","0.003","0.000","0.000","0.0000000","0.333","0.667","146","","2020-06-25 16:44:00"
"5148","El Carmen de Viboral","5","Antioquia","6.084551516","-75.33536246","2","3","0","1","2","0","0","0","11","0.000","0.000","0.667","0.000","0.000","0.000","0.0000000","0.333","0.667","20860","","2020-06-25 16:44:00"
"5154","Caucasia","5","Antioquia","7.977362333","-75.19829033","5","6","1","0","3","1","0","1","126","0.008","0.167","0.500","0.167","0.000","0.167","1.0479214","0.000","0.833","15905","95427","2020-06-25 16:44:00"
"5172","Chigorodo","5","Antioquia","7.666300439","-76.6812164","25","26","0","1","22","3","0","3","31","0.097","0.115","0.846","0.115","0.000","0.000","0.0000000","0.038","0.962","2301","","2020-06-25 16:44:00"
"5190","Cisneros","5","Antioquia","6.537761957","-75.08720761","0","1","0","1","0","0","0","0","6","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","9936","","2020-06-25 16:44:00"
"5197","Cocorna","5","Antioquia","6.058306335","-75.18548101","0","1","0","1","0","0","0","0","2","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","14833","","2020-06-25 16:44:00"
"5212","Copacabana","5","Antioquia","6.348640545","-75.5093439","11","39","0","28","10","0","0","0","6","0.000","0.000","0.256","0.000","0.000","0.000","0.0000000","0.718","0.282","2098","","2020-06-25 16:44:00"
"5234","Dabeiba","5","Antioquia","7.00032194","-76.26297665","2","2","0","0","2","0","0","0","5","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","11755","","2020-06-25 16:44:00"
"5237","Donmatias","5","Antioquia","6.484469957","-75.39272406","4","6","0","2","3","0","1","1","3","0.333","0.167","0.500","0.000","0.167","0.000","0.0000000","0.333","0.667","3285","","2020-06-25 16:44:00"
"5250","El Bagre","5","Antioquia","7.597521794","-74.79909729","2","3","0","1","1","1","0","1","12","0.083","0.333","0.333","0.333","0.000","0.000","0.0000000","0.333","0.667","17949","","2020-06-25 16:44:00"
"5266","Envigado","5","Antioquia","6.167004552","-75.58301014","37","72","0","35","34","3","0","3","131","0.023","0.042","0.472","0.042","0.000","0.000","0.0000000","0.486","0.514","3364","","2020-06-25 16:44:00"
"5282","Fredonia","5","Antioquia","5.924368006","-75.6705064","1","1","0","0","0","1","0","1","6","0.167","1.000","0.000","1.000","0.000","0.000","0.0000000","0.000","1.000","24754","","2020-06-25 16:44:00"
"5284","Frontino","5","Antioquia","6.776065912","-76.13076514","0","3","0","3","0","0","0","0","5","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","6900","","2020-06-25 16:44:00"
"5306","Giraldo","5","Antioquia","6.680808016","-75.95215756","2","4","0","2","2","0","0","0","1","0.000","0.000","0.500","0.000","0.000","0.000","0.0000000","0.500","0.500","1438","","2020-06-25 16:44:00"
"5308","Girardota","5","Antioquia","6.379613834","-75.44446221","1","2","0","1","1","0","0","0","4","0.000","0.000","0.500","0.000","0.000","0.000","0.0000000","0.500","0.500","27220","","2020-06-25 16:44:00"
"5313","Granada","5","Antioquia","6.142896667","-75.18444508","0","1","1","0","0","0","0","0","1","0.000","0.000","0.000","0.000","0.000","1.000","10.2417042","0.000","0.000","9764","9764","2020-06-25 16:44:00"
"5318","Guarne","5","Antioquia","6.278064077","-75.44165392","2","5","0","3","2","0","0","0","4","0.000","0.000","0.400","0.000","0.000","0.000","0.0000000","0.600","0.400","11632","","2020-06-25 16:44:00"
"5321","Guatape","5","Antioquia","6.232592707","-75.16229259","0","2","0","2","0","0","0","0","2","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","4355","","2020-06-25 16:44:00"
"5353","Hispania","5","Antioquia","5.799461575","-75.90658827","1","1","0","0","1","0","0","0","1","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","5591","","2020-06-25 16:44:00"
"5360","Itagui","5","Antioquia","6.169597629","-75.61435871","117","149","0","32","113","4","0","4","168","0.024","0.027","0.758","0.027","0.000","0.000","0.0000000","0.215","0.785","1946","","2020-06-25 16:44:00"
"5361","Ituango","5","Antioquia","7.17162903","-75.76467317","326","505","0","179","322","3","1","4","8","0.500","0.008","0.638","0.006","0.002","0.000","0.0000000","0.354","0.646","55","","2020-06-25 16:44:00"
"5368","Jerico","5","Antioquia","5.789747931","-75.78549855","0","1","0","1","0","0","0","0","2","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","13706","","2020-06-25 16:44:00"
"5376","La Ceja","5","Antioquia","6.028055744","-75.42943089","20","24","0","4","19","1","0","1","120","0.008","0.042","0.792","0.042","0.000","0.000","0.0000000","0.167","0.833","2847","","2020-06-25 16:44:00"
"5380","La Estrella","5","Antioquia","6.15841974","-75.64519038","42","56","0","14","40","2","0","2","3","0.667","0.036","0.714","0.036","0.000","0.000","0.0000000","0.250","0.750","1349","","2020-06-25 16:44:00"
"5425","Maceo","5","Antioquia","6.552116913","-74.78716148","2","2","0","0","2","0","0","0","4","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","4124","","2020-06-25 16:44:00"
"5440","Marinilla","5","Antioquia","6.172269255","-75.33947788","4","8","0","4","4","0","0","0","4","0.000","0.000","0.500","0.000","0.000","0.000","0.0000000","0.500","0.500","8487","","2020-06-25 16:44:00"
"5467","Montebello","5","Antioquia","5.946325567","-75.52351091","0","3","0","3","0","0","0","0","2","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","2214","","2020-06-25 16:44:00"
"5480","Mutata","5","Antioquia","7.242875057","-76.4358754","4","4","0","0","4","0","0","0","6","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","3597","","2020-06-25 16:44:00"
"5483","Narino","5","Antioquia","5.610774585","-75.17626132","1","1","0","0","0","1","0","1","5","0.200","1.000","0.000","1.000","0.000","0.000","0.0000000","0.000","1.000","9947","","2020-06-25 16:44:00"
"5495","Nechi","5","Antioquia","8.094128661","-74.77647012","4","6","1","1","2","2","0","2","9","0.222","0.333","0.333","0.333","0.000","0.167","3.6557725","0.167","0.667","4559","27354","2020-06-25 16:44:00"
"5604","Remedios","5","Antioquia","7.026094053","-74.69594426","1","1","0","0","1","0","0","0","6","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","29629","","2020-06-25 16:44:00"
"5607","Retiro","5","Antioquia","6.063379954","-75.50137516","1","2","0","1","1","0","0","0","12","0.000","0.000","0.500","0.000","0.000","0.000","0.0000000","0.500","0.500","12379","","2020-06-25 16:44:00"
"5615","Rionegro","5","Antioquia","6.14722409","-75.37676938","14","28","0","14","12","2","0","2","304","0.007","0.071","0.429","0.071","0.000","0.000","0.0000000","0.500","0.500","5107","","2020-06-25 16:44:00"
"5631","Sabaneta","5","Antioquia","6.150970181","-75.61558529","21","41","0","20","21","0","0","0","22","0.000","0.000","0.512","0.000","0.000","0.000","0.0000000","0.488","0.512","2146","","2020-06-25 16:44:00"
"5642","Salgar","5","Antioquia","5.96564031","-75.98204854","21","22","0","1","20","1","0","1","3","0.333","0.045","0.909","0.045","0.000","0.000","0.0000000","0.045","0.955","830","","2020-06-25 16:44:00"
"5647","San Andres de Cuerquia","5","Antioquia","6.916808512","-75.67473253","1","1","0","0","1","0","0","0","4","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","7281","","2020-06-25 16:44:00"
"5652","San Francisco","5","Antioquia","5.964079131","-75.10268697","0","1","1","0","0","0","0","0","3","0.000","0.000","0.000","0.000","0.000","1.000","16.9808117","0.000","0.000","5889","5889","2020-06-25 16:44:00"
"5659","San Juan de Uraba","5","Antioquia","8.759341801","-76.52879434","1","1","0","0","0","1","0","1","3","0.333","1.000","0.000","1.000","0.000","0.000","0.0000000","0.000","1.000","20950","","2020-06-25 16:44:00"
"5665","San Pedro de Uraba","5","Antioquia","8.276886664","-76.38057789","0","1","0","1","0","0","0","0","5","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","32147","","2020-06-25 16:44:00"
"5670","San Roque","5","Antioquia","6.485948936","-75.01915757","0","1","0","1","0","0","0","0","7","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","21597","","2020-06-25 16:44:00"
"5686","Santa Rosa de Osos","5","Antioquia","6.643326001","-75.46074502","1","3","0","2","1","0","0","0","6","0.000","0.000","0.333","0.000","0.000","0.000","0.0000000","0.667","0.333","12623","","2020-06-25 16:44:00"
"5697","El Santuario","5","Antioquia","6.137046858","-75.26584979","1","2","0","1","1","0","0","0","4","0.000","0.000","0.500","0.000","0.000","0.000","0.0000000","0.500","0.500","18303","","2020-06-25 16:44:00"
"5756","Sonson","5","Antioquia","5.714811641","-75.30939515","0","2","0","2","0","0","0","0","4","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","18313","","2020-06-25 16:44:00"
"5789","Tamesis","5","Antioquia","5.664466636","-75.71432069","6","7","0","1","6","0","0","0","4","0.000","0.000","0.857","0.000","0.000","0.000","0.0000000","0.143","0.857","2314","","2020-06-25 16:44:00"
"5790","Taraza","5","Antioquia","7.580120815","-75.40140596","5","6","0","1","5","0","0","0","5","0.000","0.000","0.833","0.000","0.000","0.000","0.0000000","0.167","0.833","4666","","2020-06-25 16:44:00"
