"Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","People_Hospitalized","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Last_Update"
"Amazonas","10.1820963025","-75.5118252981","13","14","1","0","11","2","0","123","2","14.285714285714","78.571428571429","14.285714285714","","7.1428571428571","","92.857142857143","11.382113821138","2020-04-24 10:18:00"
"Antioquia","5.6101097761033","-74.886816625","307","447","3","137","286","10","11","11815","21","4.6979865771812","63.982102908277","2.2371364653244","2.4608501118568","0.67114093959732","30.648769574944","68.680089485459","3.7833262801523","2020-04-24 10:18:00"
"Archipiélago de San Andrés Providencia y Santa Catalina","6.39872921828","-75.440016949","4","6","0","2","4","0","0","143","","","66.666666666667","","","","33.333333333333","66.666666666667","4.1958041958042","2020-04-24 10:18:00"
"Atlántico","10.9759268186","-74.7952590482","30","40","2","8","28","2","0","3562","2","5","70","5","","5","20","75","1.1229646266143","2020-04-24 10:18:00"
"Barranquilla D.E.","10.9759268186","-74.7952590482","56","94","5","33","49","4","3","0","7","7.4468085106383","52.127659574468","4.2553191489362","3.1914893617021","5.3191489361702","35.106382978723","59.574468085106","","2020-04-24 10:18:00"
"Bogotá D.C.","4.65017303026","-74.1073590032","1614","2065","81","370","1475","101","38","26788","139","6.7312348668281","71.428571428571","4.8910411622276","1.8401937046005","3.9225181598063","17.917675544794","78.1598062954","7.7086755263551","2020-04-24 10:18:00"
"Bolívar","10.3849855226","-75.496431028","15","20","3","2","14","0","1","2731","1","5","70","","5","15","10","75","0.73233247894544","2020-04-24 10:18:00"
"Boyacá","5.53995323795","-73.3554887287","25","33","1","7","25","0","0","1000","","","75.757575757576","","","3.030303030303","21.212121212121","75.757575757576","3.3","2020-04-24 10:18:00"
"Buenaventura D.E.","3.87580243673","-77.0117402003","18","19","1","0","16","0","2","0","2","10.526315789474","84.210526315789","","10.526315789474","5.2631578947368","","94.736842105263","","2020-04-24 10:18:00"
"Caldas","7.8368375609","-75.4143614377","35","53","2","16","35","0","0","1596","","","66.037735849057","","","3.7735849056604","30.188679245283","66.037735849057","3.3208020050125","2020-04-24 10:18:00"
"Caquetá","9.31366872153","-74.8915160804","1","2","1","0","1","0","0","194","","","50","","","50","","50","1.0309278350515","2020-04-24 10:18:00"
"Cartagena D.T. y C.","10.3849855226","-75.496431028","127","200","17","56","105","14","8","0","22","11","52.5","7","4","8.5","28","63.5","","2020-04-24 10:18:00"
