"Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","People_Hospitalized","Total_Hospital_Capacity","Hospital_Capacity_Rate","Total_ICU_Capacity","Hospital_ICU_Rate","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Last_Update"
"Amazonas","10.1820963025","-75.5118252981","35","37","2","0","30","5","0","155","5","129","3.8759689922481","0","","13.513513513514","81.081081081081","13.513513513514","","5.4054054054054","","94.594594594595","23.870967741935","2020-04-25 16:50:00"
"Antioquia","5.6101097761033","-74.886816625","303","449","4","142","283","10","10","12268","20","7653","0.13066771200836","572","1.7482517482517","4.4543429844098","63.028953229399","2.2271714922049","2.2271714922049","0.89086859688196","31.62583518931","67.483296213808","3.6599282686664","2020-04-25 16:50:00"
"Archipiélago de San Andrés Providencia y Santa Catalina","6.39872921828","-75.440016949","4","6","0","2","4","0","0","150","","92","","5","","","66.666666666667","","","","33.333333333333","66.666666666667","4","2020-04-25 16:50:00"
"Atlántico","10.9759268186","-74.7952590482","45","55","2","8","43","2","0","3746","2","5861","0.034123869646818","521","","3.6363636363636","78.181818181818","3.6363636363636","","3.6363636363636","14.545454545455","81.818181818182","1.4682327816337","2020-04-25 16:50:00"
"Bogotá D.C.","4.65017303026","-74.1073590032","1677","2152","84","391","1528","110","39","26916","149","10343","1.0635212220826","991","3.9354187689203","6.9237918215613","71.003717472119","5.1115241635688","1.8122676579926","3.9033457249071","18.169144981413","77.92750929368","7.9952444642592","2020-04-25 16:50:00"
"Bolívar","10.3849855226","-75.496431028","15","20","3","2","14","0","1","2860","1","3368","","237","0.42194092827004","5","70","","5","15","10","75","0.6993006993007","2020-04-25 16:50:00"
"Boyacá","5.53995323795","-73.3554887287","24","33","1","8","24","0","0","1055","","1253","","78","","","72.727272727273","","","3.030303030303","24.242424242424","72.727272727273","3.1279620853081","2020-04-25 16:50:00"
"Caldas","7.8368375609","-75.4143614377","35","53","2","16","35","0","0","1692","","1673","","136","","","66.037735849057","","","3.7735849056604","30.188679245283","66.037735849057","3.1323877068558","2020-04-25 16:50:00"
"Caquetá","9.31366872153","-74.8915160804","1","2","1","0","1","0","0","195","","500","","20","","","50","","","50","","50","1.025641025641","2020-04-25 16:50:00"
"Casanare","5.3276126513","-72.396915159","8","10","0","2","8","0","0","446","","438","","26","","","80","","","","20","80","2.2421524663677","2020-04-25 16:50:00"
