"Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","People_Hospitalized","Hospital_Beds","Hospital_Beds_Utilisation","ICU_Beds","ICU_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Last_Update"
"Amazonas","-4.19983693453","-69.9414267076","98","105","7","0","84","14","0","445","14","64","21.875","0","","13.333333333333","80","13.333333333333","","6.6666666666667","","93.333333333333","23.595505617978","2020-05-01 16:30:00"
"Antioquia","5.6101097761033","-74.886816625","285","475","5","185","265","8","12","16198","20","3826","0.20909566126503","394","3.0456852791878","4.2105263157895","55.789473684211","1.6842105263158","2.5263157894737","1.0526315789474","38.947368421053","60","2.9324607976293","2020-05-01 16:30:00"
"Archipiélago de San Andrés Providencia y Santa Catalina","12.5830136907","-81.6960629797","3","6","0","3","3","0","0","166","","46","","3","","","50","","","","50","50","3.6144578313253","2020-05-01 16:30:00"
"Atlántico","10.9759268186","-74.7952590482","289","363","14","60","274","8","7","4767","15","2930","0.27303754266212","343","2.0408163265306","4.1322314049587","75.482093663912","2.2038567493113","1.9283746556474","3.8567493112948","16.528925619835","79.614325068871","7.6148521082442","2020-05-01 16:30:00"
"Bogotá D.C.","4.65017303026","-74.1073590032","2105","2772","108","559","1892","175","39","34281","214","5171","3.3842583639528","654","5.9633027522936","7.7200577200577","68.253968253968","6.3131313131313","1.4069264069264","3.8961038961039","20.165945165945","75.937950937951","8.0861118403781","2020-05-01 16:30:00"
"Bolívar","10.3849855226","-75.496431028","195","308","26","87","168","19","8","3620","27","1684","1.1282660332542","156","5.1282051282051","8.7662337662338","54.545454545455","6.1688311688312","2.5974025974026","8.4415584415584","28.246753246753","63.311688311688","8.5082872928177","2020-05-01 16:30:00"
"Boyacá","5.53995323795","-73.3554887287","28","46","4","14","22","6","0","1295","6","626","0.95846645367412","51","","13.04347826087","47.826086956522","13.04347826087","","8.695652173913","30.434782608696","60.869565217391","3.5521235521236","2020-05-01 16:30:00"
"Caldas","5.05768819705","-75.4910489848","40","69","2","27","37","3","0","1983","3","836","0.35885167464115","89","","4.3478260869565","53.623188405797","4.3478260869565","","2.8985507246377","39.130434782609","57.971014492754","3.4795763993949","2020-05-01 16:30:00"
"Caquetá","1.6179229304","-75.6085604324","8","9","1","0","8","0","0","321","","250","","13","","","88.888888888889","","","11.111111111111","","88.888888888889","2.803738317757","2020-05-01 16:30:00"
"Casanare","5.3276126513","-72.396915159","12","18","0","6","11","1","0","454","1","219","0.45662100456621","17","","5.5555555555556","61.111111111111","5.5555555555556","","","33.333333333333","66.666666666667","3.9647577092511","2020-05-01 16:30:00"
"Cauca","2.48250339062","-76.5740646841","19","35","4","12","14","5","0","1372","5","636","0.78616352201258","55","","14.285714285714","40","14.285714285714","","11.428571428571","34.285714285714","54.285714285714","2.5510204081633","2020-05-01 16:30:00"
"Cesar","10.4604812152","-73.259389309","20","55","6","29","11","7","2","969","9","1189","0.58873002523129","145","1.3793103448276","16.363636363636","20","12.727272727273","3.6363636363636","10.909090909091","52.727272727273","36.363636363636","5.6759545923633","2020-05-01 16:30:00"
"Chocó","5.69219518726","-76.6259693555","10","13","1","2","9","1","0","541","1","256","0.390625","13","","7.6923076923077","69.230769230769","7.6923076923077","","7.6923076923077","15.384615384615","76.923076923077","2.4029574861368","2020-05-01 16:30:00"
"Córdoba","8.7451325909","-75.8755779091","18","29","3","8","18","0","0","1681","","1119","","144","","","62.068965517241","","","10.344827586207","27.586206896552","62.068965517241","1.7251635930993","2020-05-01 16:30:00"
"Cundinamarca","4.65017303026","-74.1073590032","131","234","13","90","115","15","1","2205","16","1156","1.2975778546713","110","0.90909090909091","6.8376068376068","49.145299145299","6.4102564102564","0.42735042735043","5.5555555555556","38.461538461538","55.982905982906","10.612244897959","2020-05-01 16:30:00"
"Huila","2.93560441491","-75.2777225856","85","133","8","40","69","13","3","141","16","603","2.1558872305141","92","3.2608695652174","12.03007518797","51.87969924812","9.7744360902256","2.2556390977444","6.015037593985","30.075187969925","63.90977443609","94.326241134752","2020-05-01 16:30:00"
