"ID_Deparment","Department","DIVIPOLA","Capital","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","People_Hospitalized","Hospital_Beds","Hospital_Beds_Utilisation","ICU_Beds","ICU_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Last_Update"
"91","Amazonas","13001","Leticia","-4.199836935","-69.94142671","937","1004","36","31","904","32","1","3479","33","64","50.000","0","","3.287","90.040","3.187","0.100","3.586","45.558","3.088","93.327","28.859","2020-05-16 16:53:00"
"5","Antioquia","5001","Medellin","5.610109776","-74.88681663","193","518","6","319","178","10","5","25322","15","3851","0.260","381","1.312","2.896","34.363","1.931","0.965","1.158","0.090","61.583","37.259","2.046","2020-05-16 16:53:00"
"17","Arauca","17524","Arauca","7.077358544","-70.74635031","1","1","0","0","0","1","0","641","1","835","0.120","85","0.000","100.000","0.000","100.000","0.000","0.000","0.000","0.000","100.000","0.156","2020-05-16 16:53:00"
"88","Archipielago de San Andres Providencia y Santa Catalina","5308","San Andres","12.58301369","-81.69606298","16","21","0","5","16","0","0","293","0","46","0.000","3","0.000","0.000","76.190","0.000","0.000","0.000","0.000","23.810","76.190","7.167","2020-05-16 16:53:00"
"8","Atlantico","8001","Barranquilla","10.97592682","-74.79525905","1402","1560","46","112","1306","78","18","11273","96","2922","2.669","326","5.521","6.154","83.718","5.000","1.154","2.949","1.690","7.179","89.872","13.838","2020-05-16 16:53:00"
"11","Bogota D.C.","11001","Bogota D.C.","4.65017303","-74.107359","3735","5283","168","1380","3366","326","38","58171","364","5159","6.319","743","5.114","6.890","63.714","6.171","0.719","3.180","2.169","26.122","70.698","9.082","2020-05-16 16:53:00"
"19","Bolivar","13001","Cartagena de Indias","-4.199836935","-69.94142671","1034","1273","68","171","894","122","17","7144","139","644","18.944","52","32.692","10.919","70.228","9.584","1.335","5.342","4.558","13.433","81.225","17.819","2020-05-16 16:53:00"
"15","Boyaca","15001","Tunja","5.539953238","-73.35548873","73","105","3","29","50","14","8","3141","22","635","2.205","48","16.667","20.952","47.619","13.333","7.619","2.857","0.241","27.619","69.524","3.343","2020-05-16 16:53:00"
"17","Caldas","17524","Arauca","7.077358544","-70.74635031","62","119","5","52","57","5","0","641","5","835","0.599","85","0.000","4.202","47.899","4.202","0.000","4.202","0.491","43.697","52.101","18.565","2020-05-16 16:53:00"
"18","Caqueta","13430","Florencia","9.313668722","-74.89151608","19","20","1","0","18","1","0","668","1","250","0.400","12","0.000","5.000","90.000","5.000","0.000","5.000","0.244","0.000","95.000","2.994","2020-05-16 16:53:00"
"85","Casanare","85001","Yopal","5.327612651","-72.39691516","16","25","0","9","13","3","0","1058","3","219","1.370","16","0.000","12.000","52.000","12.000","0.000","0.000","0.000","36.000","64.000","2.363","2020-05-16 16:53:00"
"19","Cauca","13001","Cartagena de Indias","-4.199836935","-69.94142671","31","61","4","26","29","2","0","7144","2","644","0.311","52","0.000","3.279","47.541","3.279","0.000","6.557","0.268","42.623","50.820","0.854","2020-05-16 16:53:00"
"20","Cesar","20001","Valledupar","10.46048122","-73.25938931","11","75","11","53","11","0","0","2193","0","1210","0.000","202","0.000","0.000","14.667","0.000","0.000","14.667","0.849","70.667","14.667","3.420","2020-05-16 16:53:00"
"27","Choco","27001","Quibdo","5.692195187","-76.62596936","31","42","3","8","27","4","0","830","4","256","1.563","12","0.000","9.524","64.286","9.524","0.000","7.143","0.551","19.048","73.810","5.060","2020-05-16 16:53:00"
"23","Cordoba","23001","Monteria","8.745132591","-75.87557791","53","71","4","14","46","5","2","3262","7","1120","0.446","137","1.460","9.859","64.789","7.042","2.817","5.634","0.219","19.718","74.648","2.177","2020-05-16 16:53:00"
"25","Cundinamarca","11001","Bogota D.C.","4.65017303","-74.107359","161","346","13","172","151","7","3","5066","10","1158","0.604","109","2.752","2.890","43.642","2.023","0.867","3.757","0.401","49.711","46.532","6.830","2020-05-16 16:53:00"
"41","Huila","23570","Neiva","8.550144929","-75.54027122","136","208","8","64","124","8","1","166","9","603","1.327","87","1.149","4.327","59.615","3.846","0.481","3.846","0.713","30.769","65.385","125.301","2020-05-16 16:53:00"
"44","La Guajira","44001","Riohacha","11.52875138","-72.91148891","37","45","3","5","32","4","1","4525","5","512","0.781","48","2.083","11.111","71.111","8.889","2.222","6.667","0.311","11.111","82.222","0.994","2020-05-16 16:53:00"
"47","Magdalena","23807","Santa Marta","11.2294335","-74.19089412","272","405","26","107","244","25","2","5191","27","1145","2.183","65","3.077","6.667","60.247","6.173","0.494","6.420","1.822","26.420","67.160","7.802","2020-05-16 16:53:00"
"50","Meta","23001","Villavicencio","8.745132591","-75.87557791","881","945","8","56","874","6","1","5777","7","874","0.686","45","2.222","0.741","92.487","0.635","0.106","0.847","0.752","5.926","93.228","16.358","2020-05-16 16:53:00"
"52","Narino","52001","Pasto","1.212124365","-77.27857635","402","489","25","62","351","48","2","2973","50","980","4.898","82","2.439","10.225","71.779","9.816","0.409","5.112","1.536","12.679","82.209","16.448","2020-05-16 16:53:00"
"54","Norte de Santander","54001","Cucuta","7.905306295","-72.5082562","40","112","10","62","33","7","0","4220","7","763","0.917","83","0.000","6.250","29.464","6.250","0.000","8.929","0.617","55.357","35.714","2.654","2020-05-16 16:53:00"
"86","Putumayo","86001","Mocoa","1.152296118","-76.65027142","3","3","0","0","2","1","0","242","1","193","0.518","6","0.000","33.333","66.667","33.333","0.000","0.000","0.000","0.000","100.000","1.240","2020-05-16 16:53:00"
"63","Quindio","5059","Armenia","6.155818729","-75.78683783","20","79","2","57","17","0","2","1730","2","481","0.000","28","7.143","2.532","21.519","0.000","2.532","2.532","0.360","72.152","25.316","4.566","2020-05-16 16:53:00"
"66","Risaralda","23001","Pereira","8.745132591","-75.87557791","76","236","8","152","75","1","0","4523","1","710","0.141","64","0.000","0.424","31.780","0.424","0.000","3.390","0.832","64.407","32.203","5.218","2020-05-16 16:53:00"
"68","Santander","68001","Bucaramanga","7.116267276","-73.13259818","17","50","3","30","17","0","0","4863","0","1624","0.000","171","0.000","0.000","34.000","0.000","0.000","6.000","0.132","60.000","34.000","1.028","2020-05-16 16:53:00"
"70","Sucre","70001","Sincelejo","9.302333104","-75.39548356","3","4","0","1","3","0","0","808","0","816","0.000","96","0.000","0.000","75.000","0.000","0.000","0.000","0.000","25.000","75.000","0.495","2020-05-16 16:53:00"
"73","Tolima","73001","Ibague","4.439608991","-75.19371478","86","159","6","67","82","3","1","3279","4","806","0.372","126","0.794","2.516","51.572","1.887","0.629","3.774","0.448","42.138","54.088","4.849","2020-05-16 16:53:00"
"76","Valle del Cauca","76001","Cali","3.414414305","-76.52156515","1031","1669","95","543","853","132","46","19360","178","3072","4.297","503","9.145","10.665","51.108","7.909","2.756","5.692","2.096","32.534","61.774","8.621","2020-05-16 16:53:00"
"97","Vaupes","97001","Mitu","1.251190563","-70.23475052","11","11","0","0","11","0","0","325","0","4","0.000","0","","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","3.385","2020-05-16 16:53:00"
