"People_Tested","People_Hospitalized","Hospital_Beds","Hospital_Beds_Utilisation","ICU_Beds","ICU_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Cases_Share_Of_Population","Deaths_Share_Of_Population","Last_Update"
"5450","55","64","0.797","0","","0.036","0.858","0.033","0.003","0.036","0.6960263","0.070","0.894","0.281","52.000","1437.000","2020-05-26 17:51:00"
"33979","12","3851","0.002","381","0.013","0.013","0.547","0.008","0.005","0.006","0.0008985","0.434","0.559","0.027","7157.000","1112988.000","2020-05-26 17:51:00"
"936","0","130","0.000","2","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","0.001","294206.000","","2020-05-26 17:51:00"
"433","0","46","0.000","3","0.000","0.000","0.600","0.000","0.000","0.000","0.0000000","0.400","0.600","0.035","4246.000","","2020-05-26 17:51:00"
"16336","144","2922","0.039","326","0.095","0.048","0.827","0.037","0.010","0.025","0.0275520","0.099","0.876","0.185","902.000","36295.000","2020-05-26 17:51:00"
"79571","426","5159","0.066","743","0.112","0.055","0.651","0.044","0.011","0.028","0.0282801","0.265","0.706","0.097","1000.000","35361.000","2020-05-26 17:51:00"
"13634","218","1679","0.110","148","0.230","0.092","0.711","0.077","0.014","0.048","0.0527287","0.149","0.803","0.174","917.000","18965.000","2020-05-26 17:51:00"
"5362","15","635","0.014","48","0.125","0.090","0.482","0.054","0.036","0.036","0.0048281","0.373","0.590","0.031","7486.000","207122.000","2020-05-26 17:51:00"
"4081","4","835","0.004","85","0.012","0.031","0.300","0.023","0.008","0.046","0.0058913","0.623","0.331","0.032","7834.000","169742.000","2020-05-26 17:51:00"
"876","1","250","0.004","12","0.000","0.042","0.625","0.042","0.000","0.042","0.0024359","0.292","0.667","0.027","17105.000","410521.000","2020-05-26 17:51:00"
"1266","0","219","0.000","16","0.000","0.000","0.500","0.000","0.000","0.000","0.0000000","0.500","0.500","0.025","13600.000","","2020-05-26 17:51:00"
"2511","3","644","0.003","52","0.019","0.039","0.390","0.026","0.013","0.052","0.0026811","0.519","0.429","0.031","19376.000","372984.000","2020-05-26 17:51:00"
"2982","7","1210","0.005","202","0.005","0.069","0.277","0.059","0.010","0.109","0.0084917","0.535","0.356","0.034","12826.000","117762.000","2020-05-26 17:51:00"
"1268","12","256","0.043","12","0.083","0.099","0.744","0.091","0.008","0.033","0.0073426","0.116","0.851","0.095","4502.000","136191.000","2020-05-26 17:51:00"
"4658","8","1120","0.005","137","0.015","0.086","0.624","0.065","0.022","0.065","0.0032806","0.226","0.710","0.020","19666.000","304825.000","2020-05-26 17:51:00"
"6955","36","1158","0.023","109","0.083","0.061","0.549","0.046","0.015","0.026","0.0046253","0.363","0.612","0.084","5525.000","216200.000","2020-05-26 17:51:00"
"251","4","603","0.005","87","0.011","0.017","0.320","0.012","0.004","0.037","0.0080169","0.610","0.353","0.960","4658.000","124736.000","2020-05-26 17:51:00"
"6263","3","512","0.004","48","0.021","0.056","0.648","0.037","0.019","0.056","0.0031065","0.222","0.722","0.009","17884.000","321906.000","2020-05-26 17:51:00"
"6525","23","1145","0.019","65","0.015","0.044","0.591","0.042","0.002","0.070","0.0259280","0.294","0.636","0.081","2703.000","38568.000","2020-05-26 17:51:00"
"7139","7","874","0.006","45","0.044","0.007","0.886","0.005","0.002","0.008","0.0075227","0.098","0.894","0.136","1094.000","132932.000","2020-05-26 17:51:00"
"4101","82","980","0.079","82","0.061","0.102","0.754","0.096","0.006","0.041","0.0202754","0.100","0.859","0.195","2032.000","49321.000","2020-05-26 17:51:00"
"5501","3","763","0.003","83","0.012","0.025","0.240","0.017","0.008","0.099","0.0074060","0.636","0.264","0.022","13391.000","135027.000","2020-05-26 17:51:00"
"312","4","193","0.010","6","0.333","0.571","0.429","0.286","0.286","0.000","0.0000000","0.000","1.000","0.022","51304.000","","2020-05-26 17:51:00"
"2010","3","481","0.002","28","0.071","0.032","0.245","0.011","0.021","0.032","0.0054015","0.691","0.277","0.047","5909.000","185134.000","2020-05-26 17:51:00"
"5402","0","710","0.000","64","0.000","0.000","0.139","0.000","0.000","0.033","0.0083242","0.829","0.139","0.045","3923.000","120132.000","2020-05-26 17:51:00"
"6847","1","1624","0.001","171","0.000","0.017","0.276","0.017","0.000","0.052","0.0013153","0.655","0.293","0.008","39326.000","760303.000","2020-05-26 17:51:00"
"1339","0","816","0.000","96","0.000","0.000","0.857","0.000","0.000","0.000","0.0000000","0.143","0.857","0.005","135607.000","","2020-05-26 17:51:00"
"4649","5","806","0.004","126","0.016","0.021","0.540","0.013","0.008","0.030","0.0052239","0.409","0.561","0.051","5654.000","191428.000","2020-05-26 17:51:00"
"24756","297","3072","0.079","503","0.107","0.111","0.538","0.091","0.020","0.051","0.0300078","0.300","0.649","0.108","1696.000","33325.000","2020-05-26 17:51:00"
"635","0","4","0.000","0","","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","0.017","4065.000","","2020-05-26 17:51:00"
