"ID_Deparment","Department","DIVIPOLA","Capital","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","People_Hospitalized","Hospital_Beds","Hospital_Beds_Utilisation","ICU_Beds","ICU_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Cases_Share_Of_Population","Deaths_Share_Of_Population","Last_Update"
"91","Amazonas","13001","Leticia","-4.199836935","-69.94142671","132","2418","100","2186","113","10","7","11605","2186","64","34.156","0","","312.286","345.429","312.286","16.143","14.286","126.5502404","1.429","18.857","0.001","11289.000","790.000","2020-07-12 16:42:00"
"5","Antioquia","5001","Medellin","5.610109776","-74.88681663","6277","9253","92","2884","5764","454","53","114117","2884","3851","0.749","381","15.129","54.415","174.585","54.415","108.755","1.736","1.3776724","8.566","118.434","0.000","125999.000","72586.000","2020-07-12 16:42:00"
"81","Arauca","17524","Arauca","7.077358544","-70.74635031","115","141","0","26","113","1","1","3255","26","130","0.200","2","56.500","26.000","141.000","26.000","113.000","0.000","0.0000000","1.000","115.000","0.000","294206.000","","2020-07-12 16:42:00"
"88","Archipielago de San Andres Providencia y Santa Catalina","5308","San Andres","12.58301369","-81.69606298","8","29","0","21","7","0","0","1856","21","46","0.457","3","2.333","","","","","","0.0000000","","","0.000","","","2020-07-12 16:42:00"
"8","Atlantico","8001","Barranquilla","10.97592682","-74.79525905","17411","33700","1868","14421","15675","1441","205","28435","14421","2922","4.935","326","48.083","70.346","164.390","70.346","76.463","9.112","68.6227834","7.029","84.932","0.007","13279.000","1457.000","2020-07-12 16:42:00"
"11","Bogota D.C.","11001","Bogota D.C.","4.65017303","-74.107359","30655","49644","1123","17866","27729","2698","150","316671","17866","5159","3.463","743","37.320","119.107","330.960","119.107","184.860","7.487","14.5016339","17.987","204.367","0.000","51626.000","6896.000","2020-07-12 16:42:00"
"13","Bolivar","13001","Cartagena de Indias","-4.199836935","-69.94142671","4914","12206","447","6845","4517","309","61","6901","6845","1679","4.077","148","30.520","112.213","200.098","112.213","74.049","7.328","20.4954112","5.066","80.557","0.009","35754.000","4879.000","2020-07-12 16:42:00"
"15","Boyaca","15001","Tunja","5.539953238","-73.35548873","200","492","14","278","160","33","2","16439","278","635","0.438","48","3.333","139.000","246.000","139.000","80.000","7.000","1.1265511","16.500","100.000","0.000","621366.000","88767.000","2020-07-12 16:42:00"
"17","Caldas","5120","Manizales","7.836837561","-75.41436144","75","303","7","221","61","12","1","10257","221","835","0.265","85","0.718","221.000","303.000","221.000","61.000","7.000","0.6873169","12.000","75.000","0.000","1018453.000","145493.000","2020-07-12 16:42:00"
"18","Caqueta","13430","Florencia","9.313668722","-74.89151608","87","112","2","23","70","14","2","2422","23","250","0.092","12","5.833","11.500","56.000","11.500","35.000","1.000","0.4871858","7.000","43.500","0.001","205261.000","205261.000","2020-07-12 16:42:00"
"85","Casanare","85001","Yopal","5.327612651","-72.39691516","59","118","1","58","56","3","0","4966","58","219","0.265","16","3.500","","","","","","0.2297821","","","0.000","","435195.000","2020-07-12 16:42:00"
"19","Cauca","19001","Popayan","2.482503391","-76.57406468","518","771","28","225","422","74","21","7238","225","644","0.349","52","8.115","10.714","36.714","10.714","20.095","1.333","1.8767548","3.524","24.667","0.003","71045.000","53283.000","2020-07-12 16:42:00"
"20","Cesar","20001","Valledupar","10.46048122","-73.25938931","631","1505","34","840","527","92","9","13302","840","1210","0.694","202","2.609","93.333","167.222","93.333","58.556","3.778","2.6246983","10.222","70.111","0.001","143932.000","38100.000","2020-07-12 16:42:00"
"27","Choco","27001","Quibdo","5.692195187","-76.62596936","1134","2197","71","992","947","155","27","9677","992","256","3.875","12","78.917","36.741","81.370","36.741","35.074","2.630","13.0331667","5.741","42.000","0.003","20176.000","7673.000","2020-07-12 16:42:00"
"23","Cordoba","23001","Monteria","8.745132591","-75.87557791","1063","1595","172","360","751","247","54","14131","360","1120","0.321","137","5.482","6.667","29.537","6.667","13.907","3.185","9.4043184","4.574","19.685","0.004","33869.000","10633.000","2020-07-12 16:42:00"
