"Report_date","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","People_Hospitalized","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Last_Update"
"03-06-2020","1","1","0","0","0","0","0","712","","","","","","","","100","0.14044943820225","2020-03-06 15:05:00"
"03-07-2020","0","0","0","0","0","0","0","32","","","","","","","","","0","No official report"
"03-08-2020","0","0","0","0","0","0","0","71","","","","","","","","","0","No official report"
"03-09-2020","2","2","0","0","0","0","0","41","","","","","","","","100","4.8780487804878","2020-03-09 07:26:00"
"03-10-2020","0","0","0","0","0","0","0","125","","","","","","","","","0","No official report"
"03-11-2020","6","6","0","0","0","0","0","188","","","","","","","","100","3.1914893617021","2020-03-11 08:35:00"
"03-12-2020","5","5","0","0","0","0","0","310","","","","","","","","100","1.6129032258065","No official report"
"03-13-2020","4","5","0","1","1","0","0","319","","","20","","","","20","80","1.5673981191223","2020-03-13 09:07:00"
"03-14-2020","17","18","0","1","0","0","0","343","","","","","","","5.5555555555556","94.444444444444","5.2478134110787","2020-03-14 09:30:00"
"03-15-2020","16","17","0","1","2","0","0","209","","","11.764705882353","","","","5.8823529411765","94.117647058824","8.133971291866","2020-03-15 09:08:00"
"03-16-2020","12","13","1","0","0","0","0","330","","","","","","7.6923076923077","","92.307692307692","3.9393939393939","2020-03-16 08:39:00"
"03-17-2020","24","25","0","1","4","0","0","443","","","16","","","","4","96","5.6433408577878","2020-03-17 08:38:00"
"03-18-2020","12","12","0","0","2","0","0","585","","","16.666666666667","","","","","100","2.0512820512821","2020-03-18 09:07:00"
"03-19-2020","25","26","0","1","4","0","0","645","","","15.384615384615","","","","3.8461538461538","96.153846153846","4.031007751938","2020-03-19 09:51:00"
"03-20-2020","47","48","0","1","9","0","0","558","","","18.75","","","","2.0833333333333","97.916666666667","8.6021505376344","2020-03-20 11:01:00"
"03-21-2020","30","34","0","4","5","0","1","591","1","2.9411764705882","14.705882352941","","2.9411764705882","","11.764705882353","88.235294117647","5.7529610829103","2020-03-21 11:13:00"
"03-22-2020","25","29","1","3","7","0","0","1040","","","24.137931034483","","","3.448275862069","10.344827586207","86.206896551724","2.7884615384615","2020-03-22 10:17:00"
"03-23-2020","63","73","1","9","9","0","2","1004","2","2.7397260273973","12.328767123288","","2.7397260273973","1.3698630136986","12.328767123288","86.301369863014","7.2709163346614","2020-03-23 11:23:00"
"03-24-2020","93","105","1","11","32","1","0","988","1","0.95238095238095","30.47619047619","0.95238095238095","","0.95238095238095","10.47619047619","88.571428571429","10.627530364372","2020-03-24 17:02:00"
"03-25-2020","44","61","4","13","12","0","0","364","","","19.672131147541","","","6.5573770491803","21.311475409836","72.131147540984","16.758241758242","2020-03-25 13:39:00"
"03-26-2020","-8","10","2","16","1","0","0","1073","","","10","","","20","160","","0.93196644920783","2020-03-26 14:20:00"
"03-27-2020","28","49","3","18","19","1","0","1413","1","2.0408163265306","38.775510204082","2.0408163265306","","6.1224489795918","36.734693877551","57.142857142857","3.4677990092003","2020-03-27 14:33:00"
"03-28-2020","33","69","5","31","21","2","0","1557","2","2.8985507246377","30.434782608696","2.8985507246377","","7.2463768115942","44.927536231884","47.826086956522","4.4315992292871","2020-03-28 12:48:00"
"03-29-2020","64","94","1","29","37","2","3","1691","5","5.3191489361702","39.36170212766","2.1276595744681","3.1914893617021","1.063829787234","30.851063829787","68.085106382979","5.558840922531","2020-03-29 14:14:00"
"03-30-2020","56","96","5","35","35","1","1","1990","2","2.0833333333333","36.458333333333","1.0416666666667","1.0416666666667","5.2083333333333","36.458333333333","58.333333333333","4.8241206030151","2020-03-30 13:19:00"
"03-31-2020","73","107","5","29","37","0","4","958","4","3.7383177570093","34.579439252336","","3.7383177570093","4.6728971962617","27.102803738318","68.224299065421","11.169102296451","2020-03-31 14:15:00"
"04-01-2020","124","160","4","32","68","5","2","2390","7","4.375","42.5","3.125","1.25","2.5","20","77.5","6.6945606694561","2020-04-01 13:10:00"
"04-02-2020","59","96","5","32","49","4","3","1232","7","7.2916666666667","51.041666666667","4.1666666666667","3.125","5.2083333333333","33.333333333333","61.458333333333","7.7922077922078","2020-04-02 13:40:00"
"04-03-2020","58","105","12","35","47","4","4","1267","8","7.6190476190476","44.761904761905","3.8095238095238","3.8095238095238","11.428571428571","33.333333333333","55.238095238095","8.2872928176796","2020-04-03 15:13:00"
"04-04-2020","84","140","15","41","92","3","4","1237","7","5","65.714285714286","2.1428571428571","2.8571428571429","10.714285714286","29.285714285714","60","11.317704122878","2020-04-04 14:30:00"
"04-05-2020","53","79","8","18","46","2","4","1558","6","7.5949367088608","58.227848101266","2.5316455696203","5.0632911392405","10.126582278481","22.784810126582","67.088607594937","5.0706033376123","2020-04-05 12:28:00"
"04-06-2020","60","94","11","23","54","3","5","2421","8","8.5106382978723","57.446808510638","3.1914893617021","5.3191489361702","11.702127659574","24.468085106383","63.829787234043","3.882693102024","2020-04-06 15:31:00"
"04-07-2020","97","129","8","24","83","3","6","2760","9","6.9767441860465","64.341085271318","2.3255813953488","4.6511627906977","6.2015503875969","18.604651162791","75.193798449612","4.6739130434783","2020-04-07 15:41:00"
"04-08-2020","301","346","4","41","253","8","10","3130","18","5.2023121387283","73.121387283237","2.3121387283237","2.8901734104046","1.1560693641618","11.849710982659","86.994219653179","11.054313099042","2020-04-08 15:35:00"
"04-09-2020","118","169","12","39","105","9","7","1335","16","9.4674556213018","62.130177514793","5.3254437869822","4.1420118343195","7.1005917159763","23.076923076923","69.822485207101","12.659176029963","2020-04-09 16:01:00"
"04-10-2020","202","251","5","44","203","8","6","2683","14","5.5776892430279","80.876494023904","3.1872509960159","2.390438247012","1.99203187251","17.529880478088","80.478087649402","9.3551994036526","2020-04-10 16:05:00"
"04-11-2020","192","235","8","35","164","14","11","3010","25","10.63829787234","69.787234042553","5.9574468085106","4.6808510638298","3.4042553191489","14.893617021277","81.702127659574","7.8073089700997","2020-04-11 17:27:00"
"04-12-2020","-18","67","12","73","52","3","2","1162","5","7.4626865671642","77.611940298507","4.4776119402985","2.9850746268657","17.910447761194","108.9552238806","","5.7659208261618","2020-04-12 15:47:00"
"04-13-2020","-9","76","7","78","67","5","3","1288","8","10.526315789474","88.157894736842","6.5789473684211","3.9473684210526","9.2105263157895","102.63157894737","","5.9006211180124","2020-04-13 17:21:00"
"04-14-2020","67","126","11","48","109","8","6","2370","14","11.111111111111","86.507936507937","6.3492063492063","4.7619047619048","8.7301587301587","38.095238095238","53.174603174603","5.3164556962025","2020-04-14 16:26:00"
"04-15-2020","51","126","12","63","96","12","8","3205","20","15.873015873016","76.190476190476","9.5238095238095","6.3492063492063","9.5238095238095","50","40.47619047619","3.9313572542902","2020-04-15 15:42:00"
"04-16-2020","63","128","14","51","110","6","4","3457","10","7.8125","85.9375","4.6875","3.125","10.9375","39.84375","49.21875","3.7026323401793","2020-04-16 16:17:00"
"04-17-2020","182","205","4","19","179","17","4","3488","21","10.243902439024","87.317073170732","8.2926829268293","1.9512195121951","1.9512195121951","9.2682926829268","88.780487804878","5.8772935779817","2020-04-17 16:14:00"
"04-18-2020","151","183","11","21","156","14","6","3429","20","10.928961748634","85.245901639344","7.6502732240437","3.2786885245902","6.0109289617486","11.475409836066","82.513661202186","5.336832895888","2020-04-18 17:14:00"
"04-19-2020","128","174","7","39","165","5","3","3744","8","4.5977011494253","94.827586206897","2.8735632183908","1.7241379310345","4.0229885057471","22.413793103448","73.563218390805","4.6474358974359","2020-04-19 16:36:00"
"04-20-2020","157","182","7","18","159","15","3","2423","18","9.8901098901099","87.362637362637","8.2417582417582","1.6483516483516","3.8461538461538","9.8901098901099","86.263736263736","7.5113495666529","2020-04-20 16:28:00"
"04-21-2020","140","172","7","25","151","14","2","3259","16","9.3023255813953","87.790697674419","8.1395348837209","1.1627906976744","4.0697674418605","14.53488372093","81.395348837209","5.2776925437251","2020-04-21 16:32:00"
"04-22-2020","202","208","6","0","196","10","0","3072","10","4.8076923076923","94.230769230769","4.8076923076923","","2.8846153846154","","97.115384615385","6.7708333333333","2020-04-22 16:17:00"
"04-23-2020","199","205","6","0","180","22","0","3457","22","10.731707317073","87.80487804878","10.731707317073","","2.9268292682927","","97.073170731707","5.9299971073185","2020-04-23 16:38:00"
"04-24-2020","320","320","0","0","267","47","3","3121","50","15.625","83.4375","14.6875","0.9375","","","100","10.253123998718","2020-04-24 10:18:00"
