"Report_date","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","People_Hospitalized","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Recovery_Rates","Testing_Rate","Mortality_Rate","Last_Update"
"03-06-2020","1","0","0","0","0","0","739","0","0.000","0.000","0.000","0.000","0.000","0.000","0.135","0.000","2020-03-06 15:05:00"
"03-07-2020","0","0","0","0","0","0","71","0","","","","","","","0.000","0.000",""
"03-08-2020","0","0","0","0","0","0","3","0","","","","","","","0.000","0.000",""
"03-09-2020","2","0","0","0","0","0","38","0","0.000","0.000","0.000","0.000","0.000","0.000","5.263","0.000","2020-03-09 07:26:00"
"03-10-2020","0","0","0","0","0","0","76","0","","","","","","","0.000","0.000",""
"03-11-2020","6","0","0","0","0","0","206","0","0.000","0.000","0.000","0.000","0.000","0.000","2.913","0.000","2020-03-11 08:35:00"
"03-12-2020","5","0","0","0","0","0","260","0","0.000","0.000","0.000","0.000","0.000","0.000","1.923","0.000",""
"03-13-2020","5","0","1","0","0","0","361","0","0.000","0.000","0.000","0.000","0.000","20.000","1.385","0.000","2020-03-13 09:07:00"
"03-14-2020","18","0","1","0","0","0","589","0","0.000","0.000","0.000","0.000","0.000","5.556","3.056","0.000","2020-03-14 09:30:00"
"03-15-2020","16","0","1","1","0","0","833","0","0.000","6.250","0.000","0.000","0.000","6.250","1.921","0.000","2020-03-15 09:08:00"
"03-16-2020","14","1","0","0","0","0","431","0","0.000","0.000","0.000","0.000","7.143","0.000","3.248","0.020","2020-03-16 08:39:00"
"03-17-2020","25","0","1","1","0","0","324","0","0.000","4.000","0.000","0.000","0.000","4.000","7.716","0.000","2020-03-17 08:38:00"
"03-18-2020","12","0","0","0","0","0","759","0","0.000","0.000","0.000","0.000","0.000","0.000","1.581","0.000","2020-03-18 09:07:00"
"03-19-2020","26","0","1","1","0","0","673","0","0.000","3.846","0.000","0.000","0.000","3.846","3.863","0.000","2020-03-19 09:51:00"
"03-20-2020","48","0","1","0","0","0","403","0","0.000","0.000","0.000","0.000","0.000","2.083","11.911","0.000","2020-03-20 11:01:00"
"03-21-2020","34","0","4","0","0","1","298","1","2.941","0.000","0.000","2.941","0.000","11.765","11.409","0.000","2020-03-21 11:13:00"
"03-22-2020","29","1","3","0","0","0","846","0","0.000","0.000","0.000","0.000","3.448","10.345","3.428","0.020","2020-03-22 10:17:00"
"03-23-2020","73","1","9","1","0","0","375","0","0.000","1.370","0.000","0.000","1.370","12.329","19.467","0.020","2020-03-23 11:23:00"
"03-24-2020","105","1","11","4","0","1","766","1","0.952","3.810","0.000","0.952","0.952","10.476","13.708","0.020","2020-03-24 17:02:00"
"03-25-2020","61","4","13","0","0","0","746","0","0.000","0.000","0.000","0.000","6.557","21.311","8.177","0.079","2020-03-25 13:39:00"
"03-26-2020","10","2","16","0","0","0","431","0","0.000","0.000","0.000","0.000","20.000","160.000","2.320","0.040","2020-03-26 14:20:00"
"03-27-2020","49","3","18","1","0","0","258","0","0.000","2.041","0.000","0.000","6.122","36.735","18.992","0.060","2020-03-27 14:33:00"
"03-28-2020","69","5","32","2","1","0","1365","1","1.449","2.899","1.449","0.000","7.246","46.377","5.055","0.099","2020-03-28 12:48:00"
"03-29-2020","94","1","29","3","0","0","1474","0","0.000","3.191","0.000","0.000","1.064","30.851","6.377","0.020","2020-03-29 14:14:00"
"03-30-2020","96","5","35","2","0","1","1491","1","1.042","2.083","0.000","1.042","5.208","36.458","6.439","0.099","2020-03-30 13:19:00"
"03-31-2020","107","5","29","1","0","0","4047","0","0.000","0.935","0.000","0.000","4.673","27.103","2.644","0.099","2020-03-31 14:15:00"
"04-01-2020","160","4","33","1","1","1","2390","2","1.250","0.625","0.625","0.625","2.500","20.625","6.695","0.079","2020-04-01 13:10:00"
"04-02-2020","96","6","33","4","0","0","1159","0","0.000","4.167","0.000","0.000","6.250","34.375","8.283","0.119","2020-04-02 13:40:00"
"04-03-2020","105","13","37","0","3","1","1340","4","3.810","0.000","2.857","0.952","12.381","35.238","7.836","0.258","2020-04-03 15:13:00"
"04-04-2020","140","15","41","4","2","0","1237","2","1.429","2.857","1.429","0.000","10.714","29.286","11.318","0.298","2020-04-04 14:30:00"
"04-05-2020","79","8","22","2","2","0","1558","2","2.532","2.532","2.532","0.000","10.127","27.848","5.071","0.159","2020-04-05 12:28:00"
"04-06-2020","94","12","26","2","0","1","2421","1","1.064","2.128","0.000","1.064","12.766","27.660","3.883","0.238","2020-04-06 15:31:00"
"04-07-2020","129","8","26","0","1","2","2760","3","2.326","0.000","0.775","1.550","6.202","20.155","4.674","0.159","2020-04-07 15:41:00"
"04-08-2020","346","4","44","6","4","3","3130","7","2.023","1.734","1.156","0.867","1.156","12.717","11.054","0.079","2020-04-08 15:35:00"
"04-09-2020","169","12","44","3","4","1","1335","5","2.959","1.775","2.367","0.592","7.101","26.036","12.659","0.238","2020-04-09 16:01:00"
"04-10-2020","251","5","50","18","4","1","2683","5","1.992","7.171","1.594","0.398","1.992","19.920","9.355","0.099","2020-04-10 16:05:00"
"04-11-2020","235","8","54","2","5","2","2742","7","2.979","0.851","2.128","0.851","3.404","22.979","8.570","0.159","2020-04-11 17:27:00"
"04-12-2020","67","12","94","0","0","1","1162","1","1.493","0.000","0.000","1.493","17.910","140.299","5.766","0.238","2020-04-12 15:47:00"
"04-13-2020","76","7","97","20","4","1","1256","5","6.579","26.316","5.263","1.316","9.211","127.632","6.051","0.139","2020-04-13 17:21:00"
"04-14-2020","126","11","80","14","1","0","2315","1","0.794","11.111","0.794","0.000","8.730","63.492","5.443","0.218","2020-04-14 16:26:00"
"04-15-2020","125","12","97","17","1","0","3205","1","0.800","13.600","0.800","0.000","9.600","77.600","3.900","0.238","2020-04-15 15:42:00"
"04-16-2020","128","16","70","28","1","0","3457","1","0.781","21.875","0.781","0.000","12.500","54.688","3.703","0.318","2020-04-16 16:17:00"
"04-17-2020","205","4","52","32","3","0","3488","3","1.463","15.610","1.463","0.000","1.951","25.366","5.877","0.079","2020-04-17 16:14:00"
"04-18-2020","183","12","56","43","3","0","3429","3","1.639","23.497","1.639","0.000","6.557","30.601","5.337","0.238","2020-04-18 17:14:00"
"04-19-2020","174","9","74","33","0","2","3744","2","1.149","18.966","0.000","1.149","5.172","42.529","4.647","0.179","2020-04-19 16:36:00"
"04-20-2020","182","9","82","33","2","0","2423","2","1.099","18.132","1.099","0.000","4.945","45.055","7.511","0.179","2020-04-20 16:28:00"
"04-21-2020","171","9","83","46","7","1","3259","8","4.678","26.901","4.094","0.585","5.263","48.538","5.247","0.179","2020-04-21 16:32:00"
"04-22-2020","193","8","88","73","2","0","3051","2","1.036","37.824","1.036","0.000","4.145","45.596","6.326","0.159","2020-04-22 16:17:00"
"04-23-2020","194","9","102","60","6","1","3457","7","3.608","30.928","3.093","0.515","4.639","52.577","5.612","0.179","2020-04-23 16:38:00"
"04-24-2020","304","14","87","80","15","3","3121","18","5.921","26.316","4.934","0.987","4.605","28.618","9.740","0.278","2020-04-24 16:24:00"
"04-25-2020","261","9","102","75","6","0","3068","6","2.299","28.736","2.299","0.000","3.448","39.080","8.507","0.179","2020-04-25 16:50:00"
"04-26-2020","237","18","78","99","6","2","6053","8","3.376","41.772","2.532","0.844","7.595","32.911","3.915","0.357","2020-04-26 16:35:00"
"04-27-2020","218","11","82","74","3","0","3793","3","1.376","33.945","1.376","0.000","5.046","37.615","5.747","0.218","2020-04-27 16:35:00"
"04-28-2020","354","11","98","179","7","2","4186","9","2.542","50.565","1.977","0.565","3.107","27.684","8.457","0.218","2020-04-28 17:13:00"
"04-29-2020","261","19","126","91","15","4","5068","19","7.280","34.866","5.747","1.533","7.280","48.276","5.150","0.377","2020-04-29 16:23:00"
"04-30-2020","296","21","58","87","10","1","4504","11","3.716","29.392","3.378","0.338","7.095","19.595","6.572","0.417","2020-04-30 17:24:00"
"05-01-2020","500","11","108","265","33","1","4293","34","6.800","53.000","6.600","0.200","2.200","21.600","11.647","0.218","2020-05-01 16:30:00"
"05-02-2020","277","19","112","125","10","6","5652","16","5.776","45.126","3.610","2.166","6.859","40.433","4.901","0.377","2020-05-02 17:05:00"
"05-03-2020","423","18","97","247","8","2","4199","10","2.364","58.392","1.891","0.473","4.255","22.931","10.074","0.357","2020-05-03 16:46:00"
"05-04-2020","307","19","135","168","9","2","4228","11","3.583","54.723","2.932","0.651","6.189","43.974","7.261","0.377","2020-05-04 16:44:00"
"05-05-2020","641","15","299","386","24","10","4076","34","5.304","60.218","3.744","1.560","2.340","46.646","15.726","0.298","2020-05-05 17:32:00"
"05-06-2020","347","23","216","180","12","3","4005","15","4.323","51.873","3.458","0.865","6.628","62.248","8.664","0.457","2020-05-06 17:20:00"
"05-07-2020","497","25","156","311","17","2","4242","19","3.823","62.575","3.421","0.402","5.030","31.388","11.716","0.496","2020-05-07 17:25:00"
"05-08-2020","595","17","154","334","23","11","4387","34","5.714","56.134","3.866","1.849","2.857","25.882","13.563","0.337","2020-05-08 17:08:00"
"05-09-2020","444","16","195","282","30","3","5173","33","7.432","63.514","6.757","0.676","3.604","43.919","8.583","0.318","2020-05-09 16:47:00"
"05-10-2020","568","16","159","335","36","3","6484","39","6.866","58.979","6.338","0.528","2.817","27.993","8.760","0.318","2020-05-10 17:36:00"
"05-11-2020","550","26","217","415","24","4","7537","28","5.091","75.455","4.364","0.727","4.727","39.455","7.297","0.516","2020-05-11 16:55:00"
"05-12-2020","658","9","132","443","42","7","6805","49","7.447","67.325","6.383","1.064","1.368","20.061","9.669","0.179","2020-05-12 16:58:00"
"05-13-2020","659","14","214","469","45","7","6041","52","7.891","71.168","6.829","1.062","2.124","32.473","10.909","0.278","2020-05-13 17:08:00"
"05-14-2020","680","18","126","507","42","11","5271","53","7.794","74.559","6.176","1.618","2.647","18.529","12.901","0.357","2020-05-14 16:56:00"
"05-15-2020","606","19","185","521","23","3","6062","26","4.290","85.974","3.795","0.495","3.135","30.528","9.997","0.377","2020-05-15 17:00:00"
"05-16-2020","724","17","190","581","67","12","7002","79","10.912","80.249","9.254","1.657","2.348","26.243","10.340","0.337","2020-05-16 16:53:00"
"05-17-2020","637","16","124","569","23","5","6303","28","4.396","89.325","3.611","0.785","2.512","19.466","10.106","0.318","2020-05-17 17:01:00"
"05-18-2020","718","23","179","631","48","9","5471","57","7.939","87.883","6.685","1.253","3.203","24.930","13.124","0.457","2020-05-18 16:56:00"
"05-19-2020","641","22","162","561","37","8","6158","45","7.020","87.520","5.772","1.248","3.432","25.273","10.409","0.437","2020-05-19 17:04:00"
"05-20-2020","778","22","217","703","45","6","6490","51","6.555","90.360","5.784","0.771","2.828","27.892","11.988","0.437","2020-05-20 18:05:00"
"05-21-2020","644","19","243","589","32","7","7574","39","6.056","91.460","4.969","1.087","2.950","37.733","8.503","0.377","2020-05-21 16:26:00"
"05-22-2020","802","26","207","724","46","11","13838","57","7.107","90.274","5.736","1.372","3.242","25.810","5.796","0.516","2020-05-22 16:46:00"
"05-23-2020","1018","23","147","914","61","20","7171","81","7.957","89.784","5.992","1.965","2.259","14.440","14.196","0.457","2020-05-23 17:16:00"
"05-24-2020","1001","20","229","923","49","11","9623","60","5.994","92.208","4.895","1.099","1.998","22.877","10.402","0.397","2020-05-24 16:44:00"
"05-25-2020","800","13","201","723","61","7","8070","68","8.500","90.375","7.625","0.875","1.625","25.125","9.913","0.258","2020-05-25 16:41:00"
"05-26-2020","1021","16","169","942","61","7","10306","68","6.660","92.262","5.975","0.686","1.567","16.552","9.907","0.318","2020-05-26 17:51:00"
"05-27-2020","1101","13","59","1012","75","6","12346","81","7.357","91.916","6.812","0.545","1.181","5.359","8.918","0.258","2020-05-27 17:28:00"
"05-28-2020","1255","8","60","1124","112","12","12150","124","9.880","89.562","8.924","0.956","0.637","4.781","10.329","0.159","2020-05-28 17:28:00"
"05-29-2020","1332","5","0","1232","87","6","10797","93","6.982","92.492","6.532","0.450","0.375","0.000","12.337","0.099","2020-05-29 17:27:00"
