"DIVIPOLA","City_Municipality","ID_Deparment","Department","Sex","Range","People"
"5001","Medellin","5","Antioquia","F","51-60","1"
"5001","Medellin","5","Antioquia","F","71-80","6"
"5001","Medellin","5","Antioquia","F","61-70","5"
"5001","Medellin","5","Antioquia","F","81-90","12"
"5001","Medellin","5","Antioquia","F","41-50","1"
"5001","Medellin","5","Antioquia","F","91-99","5"
"5001","Medellin","5","Antioquia","F","31-40","1"
"5001","Medellin","5","Antioquia","M","51-60","3"
"5001","Medellin","5","Antioquia","M","71-80","15"
"5001","Medellin","5","Antioquia","M","61-70","6"
"5001","Medellin","5","Antioquia","M","81-90","11"
"5001","Medellin","5","Antioquia","M","41-50","1"
"5001","Medellin","5","Antioquia","M","91-99","4"
"5088","Bello","5","Antioquia","F","81-90","3"
"5088","Bello","5","Antioquia","F","91-99","1"
"5088","Bello","5","Antioquia","M","61-70","1"
"5088","Bello","5","Antioquia","M","81-90","1"
"5088","Bello","5","Antioquia","M","41-50","1"
"5088","Bello","5","Antioquia","M","91-99","1"
"5088","Bello","5","Antioquia","M",">99","1"
"5313","Granada","5","Antioquia","F","81-90","1"
"5652","San Francisco","5","Antioquia","M","71-80","1"
"8001","Barranquilla","8","Atlantico","F","51-60","53"
"8001","Barranquilla","8","Atlantico","F","71-80","97"
"8001","Barranquilla","8","Atlantico","F","61-70","97"
"8001","Barranquilla","8","Atlantico","F","81-90","98"
"8001","Barranquilla","8","Atlantico","F","41-50","21"
"8001","Barranquilla","8","Atlantico","F","91-99","22"
"8001","Barranquilla","8","Atlantico","F","21-30","4"
"8001","Barranquilla","8","Atlantico","F","31-40","18"
"8001","Barranquilla","8","Atlantico","F",">99","1"
"8001","Barranquilla","8","Atlantico","M","51-60","124"
"8001","Barranquilla","8","Atlantico","M","71-80","181"
"8001","Barranquilla","8","Atlantico","M","61-70","195"
"8001","Barranquilla","8","Atlantico","M","81-90","113"
"8001","Barranquilla","8","Atlantico","M","41-50","64"
"8001","Barranquilla","8","Atlantico","M","91-99","27"
"8001","Barranquilla","8","Atlantico","M","21-30","18"
"8001","Barranquilla","8","Atlantico","M","31-40","28"
"8001","Barranquilla","8","Atlantico","M","11-20","2"
"8001","Barranquilla","8","Atlantico","M","0-1","1"
"8001","Barranquilla","8","Atlantico","M",">99","2"
