"Report_date","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","People_Hospitalized","Total_Hospitalization_Rate","Mortality_Rate","Recovery_Rates","Testing_Rate","Last_Update"
"03-06-2020","1","1","0","0","0","0","0","712","","","","","0.14044943820225","2020-03-06 15:05:00"
"03-07-2020","1","1","0","0","0","0","0","744","","","","","0.13440860215054","No official report"
"03-08-2020","1","1","0","0","0","0","0","815","","","","","0.12269938650307","No official report"
"03-09-2020","3","3","0","0","0","0","0","856","","","","","0.35046728971963","2020-03-09 07:26:00"
"03-10-2020","3","3","0","0","0","0","0","981","","","","","0.30581039755352","No official report"
"03-11-2020","9","9","0","0","0","0","0","1169","","","","","0.76988879384089","2020-03-11 08:35:00"
"03-12-2020","14","14","0","0","0","0","0","1479","","","","","0.94658553076403","No official report"
"03-13-2020","18","19","0","1","1","0","0","1798","","","","5.2631578947368","1.0567296996663","2020-03-13 09:07:00"
"03-14-2020","35","37","0","2","1","0","0","2141","","","","5.4054054054054","1.7281644091546","2020-03-14 09:30:00"
"03-15-2020","51","54","0","3","3","0","0","2350","","","","5.5555555555556","2.2978723404255","2020-03-15 09:08:00"
"03-16-2020","63","67","1","3","3","0","0","2680","","","1.4925373134328","4.4776119402985","2.5","2020-03-16 08:39:00"
"03-17-2020","87","92","1","4","7","0","0","3123","","","1.0869565217391","4.3478260869565","2.9458853666346","2020-03-17 08:38:00"
"03-18-2020","99","104","1","4","8","0","1","3708","1","0.96153846153846","0.96153846153846","3.8461538461538","2.8047464940669","2020-03-18 09:07:00"
"03-19-2020","124","130","1","5","13","0","1","4353","1","0.76923076923077","0.76923076923077","3.8461538461538","2.9864461291064","2020-03-19 09:51:00"
"03-20-2020","171","178","1","6","22","1","1","4911","2","1.123595505618","0.56179775280899","3.3707865168539","3.6245163917736","2020-03-20 11:01:00"
"03-21-2020","201","212","1","10","27","1","2","5502","3","1.4150943396226","0.47169811320755","4.7169811320755","3.8531443111596","2020-03-21 11:13:00"
"03-22-2020","226","241","2","13","33","2","2","6542","4","1.6597510373444","0.8298755186722","5.3941908713693","3.6838887190462","2020-03-22 10:17:00"
"03-23-2020","289","314","3","22","43","2","3","7546","5","1.5923566878981","0.95541401273885","7.0063694267516","4.1611449774715","2020-03-23 11:23:00"
"03-24-2020","382","419","4","33","74","3","7","8534","10","2.3866348448687","0.95465393794749","7.8758949880668","4.9097726740098","2020-03-24 17:02:00"
"03-25-2020","426","480","8","46","88","3","7","8898","10","2.0833333333333","1.6666666666667","9.5833333333333","5.3944706675657","2020-03-25 13:39:00"
"03-26-2020","418","490","10","62","89","3","7","9971","10","2.0408163265306","2.0408163265306","12.65306122449","4.9142513288537","2020-03-26 14:20:00"
"03-27-2020","446","539","13","80","108","4","8","11444","12","2.2263450834879","2.4118738404453","14.842300556586","4.7098916462775","2020-03-27 14:33:00"
"03-28-2020","480","608","17","111","128","7","8","13001","15","2.4671052631579","2.7960526315789","18.256578947368","4.6765633412814","2020-03-28 12:48:00"
"03-29-2020","544","702","18","140","169","8","13","14692","21","2.991452991453","2.5641025641026","19.94301994302","4.7781105363463","2020-03-29 14:14:00"
"03-30-2020","599","798","23","176","211","11","15","16682","26","3.2581453634085","2.8822055137845","22.055137844612","4.7835990888383","2020-03-30 13:19:00"
"03-31-2020","672","905","28","205","254","11","18","17640","29","3.2044198895028","3.0939226519337","22.651933701657","5.1303854875283","2020-03-31 14:15:00"
"04-01-2020","797","1065","32","236","336","17","24","20030","41","3.849765258216","3.0046948356808","22.159624413146","5.317024463305","2020-04-01 13:10:00"
"04-02-2020","856","1161","37","268","400","21","27","21262","48","4.1343669250646","3.1869078380706","23.083548664944","5.460445865864","2020-04-02 13:40:00"
"04-03-2020","915","1266","48","303","447","29","31","22529","60","4.739336492891","3.7914691943128","23.9336492891","5.6194238536997","2020-04-03 15:13:00"
"04-04-2020","999","1406","63","344","552","35","36","23766","71","5.049786628734","4.4807965860597","24.466571834993","5.9160144744593","2020-04-04 14:30:00"
"04-05-2020","1052","1485","71","362","597","42","44","25324","86","5.7912457912458","4.7811447811448","24.377104377104","5.8640025272469","2020-04-05 12:28:00"
"04-06-2020","1114","1579","81","384","655","48","49","27745","97","6.1431285623813","5.1298290056998","24.319189360355","5.6911155163092","2020-04-06 15:31:00"
"04-07-2020","1210","1708","89","409","755","56","54","30505","110","6.440281030445","5.2107728337237","23.946135831382","5.5990821176856","2020-04-07 15:41:00"
"04-08-2020","1511","2054","93","450","1017","82","63","33635","145","7.0593962999026","4.5277507302824","21.90847127556","6.1067340567861","2020-04-08 15:35:00"
"04-09-2020","1632","2223","105","486","1138","104","65","34970","169","7.6023391812865","4.72334682861","21.862348178138","6.3568773234201","2020-04-09 16:01:00"
"04-10-2020","1838","2474","110","526","1339","128","73","37653","201","8.1244947453517","4.4462409054163","21.261115602264","6.5705255889305","2020-04-10 16:05:00"
"04-11-2020","2039","2709","118","552","1515","150","83","40663","233","8.6009597637505","4.3558508674788","20.376522702104","6.6620760888277","2020-04-11 17:27:00"
"04-12-2020","2035","2776","130","611","1568","158","85","41825","243","8.7536023054755","4.6829971181556","22.010086455331","6.6371787208607","2020-04-12 15:47:00"
"04-13-2020","2047","2852","137","668","1629","171","86","43113","257","9.0112201963534","4.8036465638149","23.422159887798","6.6151740774244","2020-04-13 17:21:00"
"04-14-2020","2129","2978","148","701","1731","188","90","45483","278","9.3351242444594","4.9697783747482","23.539288112827","6.5475012642086","2020-04-14 16:26:00"
"04-15-2020","2200","3104","159","745","1820","217","91","48688","308","9.9226804123711","5.1224226804124","24.001288659794","6.3752875451857","2020-04-15 15:42:00"
"04-16-2020","2298","3232","173","761","1928","226","94","52145","320","9.9009900990099","5.3527227722772","23.545792079208","6.1981014478857","2020-04-16 16:17:00"
"04-17-2020","2496","3437","176","765","2102","249","97","55633","346","10.066918824556","5.1207448356125","22.257782950247","6.1779878848885","2020-04-17 16:14:00"
"04-18-2020","2663","3620","186","771","2255","267","102","59062","369","10.193370165746","5.1381215469613","21.298342541436","6.1291524161051","2020-04-18 17:14:00"
"04-19-2020","2799","3794","192","803","2417","276","104","62806","380","10.015814443859","5.0606220347918","21.164997364259","6.0408241250836","2020-04-19 16:36:00"
"04-20-2020","2977","3977","196","804","2573","298","106","65229","404","10.158410862459","4.9283379431732","20.216243399547","6.0969814039768","2020-04-20 16:28:00"
"04-21-2020","3149","4149","196","804","2724","317","108","68488","425","10.243432152326","4.7240298867197","19.378163412871","6.0579955612662","2020-04-21 16:32:00"
