"Report_ID","Report_date","Report_time","Confirmed","Recovered","Deaths","Last_Update","File_with_report","Url_with_report"
"1","03-06-2020","15:05:00","1","0","0","2020-03-06 15:05:00","20200306-sitrep-1-covid-19.pdf","https://twitter.com/MinSaludCol/status/1236020009127890951/photo/1"
"2","03-09-2020","07:26:00","2","0","0","2020-03-09 07:26:00","20200309-sitrep-2-covid-19.pdf","https://twitter.com/MinSaludCol/status/1236991725375193099"
"3","03-11-2020","08:35:00","6","0","0","2020-03-11 08:35:00","20200311-sitrep-3-covid-19.pdf","https://twitter.com/MinSaludCol/status/1237733802295820288/photo/1"
"4","03-13-2020","09:07:00","4","0","0","2020-03-13 09:07:00","20200313-sitrep-4-covid-19.pdf","https://twitter.com/MinSaludCol/status/1238466821893865472"
"5","03-13-2020","18:09:00","3","0","0","2020-03-13 18:09:00","20200313-sitrep-5-covid-19.pdf","https://twitter.com/MinSaludCol/status/1238603065185447936/photo/1"
"6","03-14-2020","09:30:00","6","0","0","2020-03-14 09:30:00","20200314-sitrep-6-covid-19.pdf","https://twitter.com/MinSaludCol/status/1238834815652237312/photo/2"
"7","03-14-2020","18:08:00","2","0","0","2020-03-14 18:08:00","20200314-sitrep-7-covid-19.pdf","https://twitter.com/MinSaludCol/status/1238965235337265157/photo/1"
"8","03-15-2020","09:08:00","10","0","0","2020-03-15 09:08:00","20200315-sitrep-8-covid-19.pdf","https://twitter.com/MinSaludCol/status/1239191667003011072/photo/1"
"9","03-15-2020","20:17:00","11","0","0","2020-03-15 20:17:00","20200315-sitrep-9-covid-19.pdf","https://twitter.com/MinSaludCol/status/1239360029918183425/photo/1"
"10","03-16-2020","08:39:00","9","0","0","2020-03-16 08:39:00","20200316-sitrep-10-covid-19.pdf","https://twitter.com/MinSaludCol/status/1239546724450013191/photo/1"
"11","03-16-2020","19:30:00","3","0","0","2020-03-16 19:30:00","20200316-sitrep-11-covid-19.pdf","https://twitter.com/MinSaludCol/status/1239710654417731584/photo/1"
"12","03-17-2020","08:38:00","8","0","0","2020-03-17 08:38:00","20200317-sitrep-12-covid-19.pdf","https://twitter.com/MinSaludCol/status/1239908973739941888/photo/1"
"13","03-17-2020","20:16:00","10","0","0","2020-03-17 20:16:00","20200317-sitrep-13-covid-19.pdf","https://twitter.com/MinSaludCol/status/1240084713013993472/photo/2"
"14","03-18-2020","09:07:00","18","0","0","2020-03-18 09:07:00","20200318-sitrep-14-covid-19.pdf","https://twitter.com/MinSaludCol/status/1240278546226044929/photo/1"
"15","03-18-2020","21:22:00","9","0","0","2020-03-18 21:22:00","20200318-sitrep-15-covid-19.pdf","https://twitter.com/MinSaludCol/status/1240463700622036992/photo/1"
"16","03-19-2020","09:51:00","6","0","0","2020-03-19 09:51:00","20200319-sitrep-16-covid-19.pdf","https://twitter.com/MinSaludCol/status/1240652105754578947/photo/1"
