"DIVIPOLA","Department","04/24/2020","04/25/2020","04/26/2020","04/27/2020","04/28/2020","04/29/2020","04/30/2020","05/01/2020","05/02/2020","05/03/2020","05/04/2020","05/05/2020","05/06/2020","05/07/2020","05/08/2020","05/09/2020","05/10/2020","05/11/2020","05/12/2020","05/13/2020","05/14/2020","05/15/2020","05/16/2020","05/17/2020","05/18/2020","05/19/2020","05/20/2020","05/21/2020","05/22/2020","05/23/2020","05/24/2020","05/25/2020","05/26/2020","05/27/2020","05/28/2020","05/29/2020","05/30/2020","05/31/2020","06/01/2020","06/02/2020","06/03/2020","06/04/2020","06/05/2020","06/06/2020","06/07/2020","06/08/2020","06/09/2020","06/10/2020","06/11/2020","06/12/2020","06/13/2020","06/14/2020","06/15/2020","06/16/2020","06/17/2020","06/18/2020","06/19/2020","06/20/2020","06/21/2020","06/22/2020","06/23/2020","06/24/2020","06/25/2020","06/26/2020","06/27/2020","06/28/2020","06/29/2020","6/30/2020","7/1/2020","7/2/2020","7/3/2020","7/4/2020","7/5/2020","7/6/2020"
"91","Amazonas","123","155","204","204","327","327","445","445","700","700","700","999","999","999","999","999","1457","1799","2007","2437","2446","2849","3479","3623","3958","4002","4002","4053","4120","4121","5190","5450","5501","5826","5841","6141","6160","6612","6770","6876","7080","7190","7367","7367","7650","7665","7708","7890","7960","8043","8408","8416","8435","8661","9064","9066","9133","9134","9374","9447","9735","9754","9832","9857","9908","10046","10277","10597","10751","10783","10786","10880","10990","11043"
"5","Antioquia","11815","12268","13511","14482","15115","15115","16198","16198","17246","17682","17682","18450","18450","18450","18450","18450","21161","21676","22573","23234","23733","24478","25322","26154","26483","27349","27690","29118","29732","31533","32225","33979","36237","37317","39187","40161","41099","42051","42768","44128","44900","45759","47196","48510","49475","50128","52032","54795","55998","57734","59150","60331","61095","62456","63169","64910","66545","67268","68930","71085","72521","74284","75979","77953","79976","82055","83993","86031","87913","89252","91975","93906","96066","98370"
"81","Arauca","60","120","151","181","211","241","271","301","331","361","391","421","452","482","512","542","591","602","602","631","631","641","641","643","649","766","770","771","918","918","935","936","936","937","981","1141","1204","1204","1204","1232","1261","1337","1337","1379","1379","1418","1426","1460","1475","1552","1598","1598","1598","1603","1612","1644","1694","1699","1768","1798","1801","2021","2052","2091","2276","2364","2364","2407","2433","2491","2502","2538","2677","2677"
"8","Atlantico","3562","3746","3907","4090","4208","4208","4767","4767","5484","6320","6320","6776","6776","6776","6776","6776","8100","8880","9500","9825","10370","10954","11273","11789","12450","12650","13382","13782","14635","15406","15794","16336","17153","18098","18747","19515","20164","21233","22927","24050","25567","27344","28612","30715","31922","33687","35322","10685","10990","11521","11921","12296","12889","13339","14312","14859","15336","15682","16494","17223","17951","18657","19688","20667","21389","21951","22620","23291","23751","24157","24484","24567","24956","25313"
"11","Bogota D.C.","26788","26916","28936","30231","30678","30678","34281","34281","37121","37719","37719","39797","39797","39797","39797","39797","46276","49698","51769","53683","54780","56352","58171","58843","60029","63097","64831","67350","75028","76449","77511","79571","81302","85597","89385","92958","98661","101591","103149","105540","109606","113356","117214","120773","123065","125237","127712","129516","134280","136362","138614","141697","145795","148534","153200","157227","163261","171394","176170","181174","185089","190056","194982","200221","205881","212011","216686","220471","224827","234263","240515","247977","254021","261021"
"13","Bolivar","2731","2860","3011","3182","3285","3285","3620","3620","3938","4074","4074","4388","4388","4388","4388","4388","5586","5938","6479","6894","7043","7074","7144","8475","9328","9724","10377","10942","11344","12182","12945","13634","14531","16103","17221","17446","19102","20381","21383","21596","22864","24515","25344","26274","27461","29479","30270","2748","2867","2890","2924","3018","3085","3151","3188","3280","3382","3495","3604","3717","3750","3971","4005","4180","4365","4421","4635","4707","4833","4864","5038","5158","5234","5505"
"15","Boyaca","1000","1055","1078","1092","1230","1230","1295","1295","1361","1496","1496","1600","1600","1600","1600","1600","2022","2141","2243","2341","2661","2946","3141","3478","3555","3657","3862","4033","4348","4554","5267","5362","5700","5991","6487","6795","7325","7734","7878","8117","8435","8691","8972","9514","9514","9779","9884","10058","10186","10260","10666","10665","10914","11141","11323","11437","11763","11891","12145","12450","12672","12937","13081","13234","13496","13585","14030","14298","14495","14717","14884","14950","15278","15485"
"17","Caldas","1596","1692","1753","1753","1757","1757","1983","1983","2102","2103","2103","2707","2707","2707","2707","2707","3051","3100","3204","3241","3387","3415","3500","3582","3674","3693","3718","3806","3907","3915","4063","4081","4194","4307","4533","4698","4746","4821","4889","4963","5026","5066","5165","5316","5394","5505","5590","5703","5914","5979","6213","6336","6556","6684","6783","6892","7025","7153","7240","7335","7546","7779","7919","8027","8082","8267","8551","8751","8991","9301","9383","9449","9541","9602"
"18","Caqueta","194","195","214","231","305","305","321","321","334","364","364","414","414","414","414","414","481","495","534","557","588","635","668","677","691","731","747","754","803","826","876","876","903","926","926","947","1000","1000","1021","1021","1038","1039","1045","1060","1067","1067","1097","1132","1133","1139","1245","1252","1399","1400","1439","1450","1725","1733","1787","1799","1800","1845","1847","1852","1887","1922","2038","2049","2082","2087","2092","2119","2126","2131"
"85","Casanare","417","446","446","454","438","438","454","454","563","696","696","711","711","711","711","711","766","777","780","801","840","852","1058","1125","1128","1130","1161","1175","1202","1204","1259","1266","1266","1279","1323","1399","1510","1807","1807","1822","1881","1902","2003","2019","2041","2160","2163","2166","2176","2190","2244","2237","2426","2514","2671","2679","2805","2877","2927","3006","3059","3215","3399","3420","3583","3721","3883","3964","4072","4102","4163","4192","4288","4600"
